0,1,2,3,4,5
,For the quarter ended,For the year ended,,,
Particulars,March 31 2018,December 31 2017,March 31 2017,March 31 2018,March 31 2017
,(Refer note 2),(Unaudited),(Refer note 2),(Audited),(Audited)
Income from operationsVoice Solutions,12690,11890,16161,56980,76784
Data and Managed Services,118253,114716,111888,455110,430031
Total,130943,126606,128049,512090,506815
Segment resultVoice Solutions,(9277),(13755),(9497),(51380),(49386)
Data and Managed Services,15034,23755,15025,82275,92247
Total,5757,10000,5528,30895,42861
Less:(i) Finance Costs,889,1159,725,4031,3068
(ii) Other un allocable(income) net of un-allocable,(21581),(9718),149693,(22043),(80691)
expenses,,,,,
Profit/ (Loss) before tax,26449,18559,(144890),48907,120484
