0,1
"In our opinion and to the best of our information and according to the explanations given to us,the Statement:",
(i) includes the financial information of the following entities:,
Subsidiaries:,
i.,"Hinduja Leyland Finance Limited and its subsidiary, controlled trust and associate"
ii.,Gulf Ashley Motor Limited
iii.,Global TVS Bus Body Builders Limited
iv.,HLF Services Limited
V.,Optare Pic and its subsidiaries
vi.,Ashok Leyland (Chile) SA
vii.,Ashok Leyland (Nigeria) Limited
viii.,Albonair (India) Private Limited
ix.,Albonair GmbH and its subsidiary
X.,Ashok Leyland (UAE) LLC and its subsidiaries
xi.,Ashley Powertain Limited
xii.,Ashok Leyland Vehicles Limited
xiii.,Ashok Leyland Technologies Limited
xiv.,Ashok Leyland (UK) Limited
