0,1,2,3,4,5,6,7,8
SL.NO.,PARTICULARS,Standalone Results,Consolidated Results,,,,,
3 MonthsEnded31.03.2018#Audited,Preceding 3Months Ended31.12.2017Unaudited,Corresponding 3months ended31.03.17 in prev.yr.Audited(iSo<f 0,CurrentYear Ended31.03.2018 #Audited,PreviousYear ended31.03.2017Audited,For year ended31.03.2018Audited,For year ended31.03.2017Audited,,
1,Segment Revenue,,,,,,,
/V,Power,8308.07,5355.81,8109.00,23064.17,"22794,78",23064.17,22794.78
B,Industry,1520.53,1138.63,1765.34,5034.25,6045.64,5048.65,6077.11
,Total,9828.60,6494.44,9874.34,28098.42,28840.42,28112.82,28871.89
,Inter segmental revenue,-,-,-,-,-,-,-
,Sales / Income from operations,9828.60,6494.44,9874.34,28098.42,28840.42,28112.82,28871.89
2,Segment Results fProfit/CLoss! before Tax & Finance,,,,,,,
,Cost!,,,,,,,
A,Power,909.42,775.10,1129.07,2792.14,2534.58,2792.14,2534.58
B,Industry',57.15,40.44,268.25,179.55,244.15,172.75,239.02
,Total,966.57,815.54,1397.32,2971.69,2778.73,2964.89,2773.60
,Less: Finance Cost,72.58,"61,03",313.59,254.55,350.61,255.16,351.30
,Other unallocable expenditure net of income,(245.88),564.67,815.14,1132.15,1800.29,1494.86,1836.73
,Total Profit before Tax,H 39.87,189.84,268.59,1584.99,627.83,1214.87,585.57
3,Segment Assets,,,,,,,
A,Power,40812.18,,37602.38,40812.18,37602.38,40812.66,37601.20
B,Industry,8522.98,,9188.25,8522.98,9188.25,8544.93,9210.89
C,Unallocated,14453.99,,14439.57,14453.99,14439.57,14187.09,14535.36
,Total Segment Assets,63789.15,,61230.20,63789.15,61230.20,63544.68,61347.45
4,Segment Liabilities,,,,,,,
A,Power,24541.30,,23250.32,24541.30,23250.32,24541.30,23250.32
B,Industry,4799.21,,5480.91,4799.21,5480.91,4829.44,5504.69
C,Unallocated,1847.56,,204.53,1847.56,204.53,1843.00,204.53
,Total Segment Liabilities,31188.07,,28935.76,31188.07,28935.76,31213.74,28959.54
