0,1,2,3,4,5
Particulars,Quarter Ended,Year Ended,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,
Exchange Gain/ (Loss) on Long-termBorrowings/Assets (Net),-,151,(967),7,44
Change in fair value of derivative contracts,(1191),1733,4848,2551,6545
Expenditure on projects written off forcommercial reasons,(257),-,-,(257),-
Provision of financial exposure in an associate,10,(10),-,(56),(505)
Recovery of costs along with interest on asurrendered project,-,-,-,-,2433
Refund of municipal tax,-,-,-,-,616
Profit on compulsory acquisition of land bygovernment,-,-,-,-,97
NetLoss on disposal of subsidiaries,-,-,3,-,(10308)
,(1438),1874,3884,2245,(1078)
