0,1
Sr.No.,Name of the Entities:
74,Tamco Electrical Industries Australia Pty Ltd
75,PT Tamco Indonesia
76,Larsen & Toubro Heavy Engineering LLC
77,L&T Electrical & Automation FZE
78,K.ana Controls General Trading and Contracting Company WLL
79,Larsen & Toubro T&D SA (Proprietary) Limited
80,L&T Technology Services LLC
81,L&T Infotech Austria GmbH
82,Marine Infrastructure Developer Private Limited
83,L&T Global Holdings Limited
84,L&T Information Technology Spain SL
85,Esencia Technologies Inc
86,L&T Infotech S.DE R.L. C.V.
87,L&T Infra Investment Partners
88,Seawoods Retail Private Limited ***
89,Seawoods Realty Private Limited ***
90,PT Larsen & Toubro Hydrocarbon Engineering Indonesia
91,L&T Westend Project LLP
92,Syncordis S.A. Luxembourg
93,Syncordis France SARL
94,Syncordis Limited
95,Syncordis PSF S.A.
96,Syncordis Software Services India Private limited
,
,Joint Ventures:-
1,L&T Transportation Infrastructure Limited
2,PNG Tollway Limited
3,L&T MBDA Missile Systems Limited
4,L&T Howden Private Limited
5,L&T Sapura Shipping Private Limited
6,L&T Sapura Offshore Private Limited
7,L&T-Gulf Private Limited
8,L&T-MHPS Boilers Private Limited
9,L&T-MPIPS Turbine Generators Private Limited
10,Raykal Aluminium Company Private Limited
11,L&T Special Steels and Heavy Forgings Private Limited
12,L&T Kobelco Machinery Private Limited
13,L&T-Sargent & Lundy Limited
