0,1,2,3,4
,Previous Payment Date,Next payment Date,,
Non-Convertible Debentures,Principal,Interest,Principal,Interest
10.60% NCD,2-Jan-18,2-Jan-18,T-Jul-18,3-Apr-18
10.60% NCD,2-Feb-18,2-Feb-18,2-Aug-18,2-May-18
10.34% NCD,-,18-Jan-18,18-Jan-22,18-Apr-18
10.02% NCD,-,20-Feb-18,20-May-23,20-May-18
10.02% NCD,-,19-Jan-18,19-Jul-23,19-Apr-18
10.40% NCD,-,19-Feb-18,19-Aug-19,19-May-18
10.50% NCD,-,19-Feb-18,19-Aug-18,19-May-18
10.60% NCD,-,19-Feb-18,19-Aug-19,19-May-18
9.665% NCD,-,23-Dec-17,22-Dec-18,22-Dec-18
9.72% NCD,-,23-Dec-17,23-Dec-19,23-Dec-18
10.10% NCD,15-Mar-18,15-Mar-18,N.A,N.A
10.25% NCD,17-Feb-18,17-Feb-18,N.A,N.A
