0,1
Entity,Relationship
Spencer's Retail Limited (SRL),Subsidiary of CESC
Quest Properties India Limited (QPIL),Subsidiary of CESC
CESC Infrastructure Limited (CIL),Subsidiary of CESC
Surya Vidyut Limited,Subsidiary of CESC
Nalanda Power Company Limited,Subsidiary of CESC
CESC Projects Limited,Subsidiary of CESC
Bantal Singapore Pte. Limited,Subsidiary of CESC
Ranchi Power Distribution Company Limited,Subsidiary of CESC
Pachi Hydropower Projects Limited,Subsidiary of CESC
Papu Hydropower Projects Limited,Subsidiary of CESC
Spen Liq Private Limited (SLPL),Subsidiary of CESC
Kota Electricity Distribution Limited,Subsidiary of CESC
Bikaner Electricity Supply Limited,Subsidiary of CESC
Bharatpur Electricity Services Limited,Subsidiary of CESC
Crescent Power Limited (CPL),Subsidiary of CESC
RP-SG Retail Limited (RRL),Subsidiary of CESC
RP-SG Business Process Services Limited (RP BPS),Subsidiary of CESC
CESC Green Power Limited,Subsidiary of CESC
Haldia Energy Limited,Subsidiary of CIL
Dhariwal Infrastructure Limited,Subsidiary of CIL
New Rising Promoters Private Limited,Subsidiary of CPL
"Firstsource Group USA, Inc. (FSGUSA)",Subsidiary of FSL
Firstsource BPO Ireland Ltd.,Subsidiary of FSL
Firstsource Solutions UK Ltd. (FSUK),Subsidiary of FSL
Firstsource-Dialog Solutions Pvt. Ltd.,Subsidiary of FSL
Firstsource Process Management Services Limited,Subsidiary of FSL
"Firstsource Advantage, LLC",Subsidiary of FSBPS
One Advantage LLC,Subsidiary of FSBPS
"MedAssist Holding, LLC (MAH)",Subsidiary of FSGSA
"Firstsource Business Process Services, LLC (FSBPS)",Subsidiary of FSGSA
ISGN Solutions Inc.(ISGN),Subsidiary of FSGSA
Firstsource Solutions S.A.,Subsidiary of FSUK
"Firstsource Transaction Services, LLC",Subsidiary of FSUSA
"ISGN Fulfillment Services, Inc. (ISGNF)",Subsidiary of ISGN
"ISGN Fulfillment Agency, LLC",Subsidiary of ISGNF
"Firstsource Solutions USA, LLC (FSUSA)",Subsidiary of MAH
Metromark Green Commodities Pvt. Ltd,Subsidiary of QPIL
Guiltfree Industries Limited (GIL),Subsidiary of RP BPS
Bowlopedia Restaurants India Limited,Subsidiary of RP BPS
Omnipresent Retail India Private Limited,Subsidiary of RRL
Firstsource Solutions Limited (FSL),Subsidiary of SLPL
Music World Retail Limited,Subsidiary of SRL
Au Bon Pain Cafe India Limited,Subsidiary of SRL
Apricot Foods Private Limited,Subsidiary of GIL
Noida Power Company Limited,Associate
Mahuagarhi Coal Company Private Limited,Joint venture
