0,1,2,3,4,5,6,7
,,,Standalone,,Consolidated,,
Particulars,Quarter Ended,Year Ended,Year Ended,,,,
,31-03-2018,31-12-2017,31-03-2017,31-03-2018,31-03-2017,31-03-2018,31-03-2017
Other ODeratina Income:Deferred Grant Income,28,29,262,216,306,216,306
Sale of Scraps,253,272,264,1002,1079,1003,1084
Income from wind power,118,584,339,6696,7244,8439,9018
Industrial Promotion Assistance,-,-,434,908,650,908,650
Total,399,885,1299,8822,9279,10566,11058
Other Income:Interest income,683,255,133,1563,2617,1265,2291
Dividend income,2,1,2,77,9,9,9
Merchant power,-,-,162,3,555,3,555
Rent receipts,262,203,228,872,781,866,774
Others,954,57,122,1149,389,1125,365
Total,1901,516,647,3664,4351,3268,3994
