0,1,2,3,4,5,6,7
Particulars,Standalone,Consolidated,,,,,
Quarter Ended,Year Ended,Year Ended,,,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017,
Unaudited(Refer Note 3),Unaudited,Unaudited(Refer Note 3),Audited,Audited,Audited,Audited,
Total Income from Operations (net),186876,186412,163363,719560,632715,827562,713688
"Net Profit /(Loss) for the period (before Tax, Exceptional and/orExtraordinary Items)",8386,9784,5860,33013,35892,17147,22208
"Net Profit /(Loss) for the period (before Tax, after Exceptionaland/or Extraordinary Items)",8386,9784,5860,33013,35892,17147,22208
Net profit /(Loss) for the period after tax(after Exceptional and Extraordinary items),5964,6744,4816,23320,28515,5956,13112
Total Comprehensive Income for the period [comprising Profit/(Loss) for the period (after tax) and Other ComprehensiveIncome (after tax)],6031,6370,4394,21496,26348,4236,10922
Paid up Equity Share Capital (Face value of Rs.5/- each),,,,6956,6956,6956,6956
Reserves (excluding Revaluation Reserves),,,,362392,350945,318198,324018
Networth,355773,,344326,355773,344326,,
Paid up Debt Capital/ Outstanding Debt,70000,,80000,70000,80000,,
Debenture Redemption Reserve,12975,,12975,12975,12975,,
Capital Redemption Reserve,600,,600,600,600,,
Earnings Per Equity Share of Rs.5/- each,,,,,,,
Basic and Diluted EPS before extraordinary item for the perioc,*4.29,*4.85,*3.46,16.76,20.50,8.44,15.88
Basic and Diluted EPS after extraordinary item for the period (,*4.29,*4.85,*3.46,16.76,20.50,8.44,15.88
Debt Equity Ratio,0.84,,0.76,0.84,0.76,,
Debt Service Coverage Ratio,1.64,,1.61,1.86,1.91,,
Interest Service Coverage Ratio,3.72,,3.03,3.59,3.88,,
