0,1,2,3,4,5,6
,,,Ouartcr ended,,Year ended,
SI. No.,Particulars,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,,(Audited),(Unaudited),(Audited),(Audited),(Audited)
1,Segment wise revenue and results:Segment revenue :a) Pharmaceutical Services and Active Ingredients,"7,853","6,895",6.969,"27,930","27,832"
,b) Global Generics,"27,858","30,270","29,169","114,282","115,736"
,c) Proprietary Products,847,"2,136",969,"4,250","2,783"
,d) Others,429,389,460,"1,840","1,791"
,Total,"36,987","39,690","37,567","148,302","148,142"
,Less: Inter-segment revenue,"1,448","1,349","1,448","5,492","6,181"
,Add: Other un-allocable income,-,â€¢,-,,-
,Total revenue from operations,"35,539","38,341","36,119","142,810","141,961"
2,Segment results:Gross profit from each segmenta) Pharmaceutical Services and Active Ingredients,"1,517","1,302",543,"4,477","4,497"
,b) Global Generics,"16,506","17,912","17,024","67,190","71,079"
,c) Proprietary Products,726,"2,022",410,"3,799","1,951"
,d) Others,153,181,208,869,853
,Total,"18,902","21,417","18,185","76,335","78,380"
,"Less: Selling and other un-allocable expenditure / (income), net","15,758","15,947","14,814","62,831","62,843"
,Total profit before tax,"3,144","5,470","3,371","13,504","15,537"
