0,1,2,3
,,,Country oi
Subsidiaries,Subsidiaries,Subsidiaries,Incorporation
Wipro LLC,,,USA
,"Wipro Gallagher Solutions, Inc.",,USA
,,Opus Capital Markets ConsultantsLLC,USA
,,Wipro Promax Analytics SolutionsLLC,USA
,"Infocrossing, Inc.",,USA
,Wipro Insurance Solutions LLC,,USA
,Wipro Data Centre and Cloud,,USA
,"Services, Inc.Wipro IT Services, Inc.",HPH Holdings Corp.(A),USA
,,USA,
,,"Appirio, Inc.",USA
,,"Cooper Software, Inc.",USA
Wipro Overseas IT ServicesPvt. Ltd,,,India
Wipro Japan KK,,,Japan
Wipro Shanghai Limited,,,China
Wipro Trademarks HoldingLimited,,,India
Wipro Travel Services Limited,,,India
Wipro Holdings UK Limited,Wipro Information Technology,,U.K.Austria
,Austria GmbH,Wipro Technologies Austria GmbH,Austria
,Wipro Digital Aps,Designit A/S ^,DenmarkDenmark
,Wipro Europe Limited,,U.K.
,,Wipro UK Limited,U.K.
,Wipro Financial Services UKLimited,,U.K.
