0,1,2,3,4,5
1,"The above results have been reviewed by the Audit Committee and approved by the Board of Directors at its meeting held on May 30, 2018. Theresults for the quarter and year ended March 31,2017 was audited, as applicable by the erstwhile statutory auditors of the Company.",,,,
2,"The above said results are prepared in accordance with the Indian Accounting Standards (Ind-AS) as prescribed under Section 133 of the CompaniesAct, 2013",,,,
3,"Pursuant to the introduction of Goods and Services Tax (GST) with effect from July 1, 2017, Central Excise, Value Added Tax etc. have beensubsumed into GST. In accordance with Accounting requirements, unlike Excise Duty, GST is not part of Revenue. Accordingly, the adjusted GrossSales and Service Income (i.e. Net of GST and Excise duty, as applicable), is being provided below to facilitate comparison:(Rs. in Lakhs)",,,,
Particulars,Quarter ended,Year ended,,,
31-03-2018(Audited)(Refer Note 7),31-12-2017(Unaudited),31-03-2017(Audited)(Refer Note 7),31-03-2018(Audited),31-03-2017(Audited),
Gross Sales and Service Income (A),"37,537","35,557","34,766","142,066","132,860"
Excise duty on Sales (B),-,-,"2,894","2,281","10,044"
Gross Sales and Service Income excludingexcise duty on sales [C = (A-B)],"37,537","35,557","31,872","139,785","122,816"
4,"The Segmentwise information as required by Regulation 33 of SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015 is furnishedin Annexure 1.",,,,
5,"The figures for the corresponding previous period have been restated/regrouped wherever necessary, to make them comparable.",,,,
6,"The financial results are available on the BSE Limited website,www.bseindia.com, National Stock Exchange of India Limitedwebsite,www.nseindia.comand on the Company's website,www.grindwellnorton.co.in",,,,
7,The figures for the last quarter are the balancing figures between the audited figures in respect of the full financial year and the published year to datefigures upto the third quarter of the current financial year.,,,,
8,"Dividend of Rs.5/- per equity share of Rs 5/- each, has been recommended by the Board of Directors, in the Board meeting held on May 30, 2018,which is subject to the approval of shareholders at the ensuing Annual General Meeting.",,,,
