0,1,2,3,4,5
Particulars,3 months ended,Financial year ended,,,
,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
Segment Revenue (Net of excise duty & GST),,,,,
Conductors,894.20,638.63,584.89,"2,569.89","2,251.10"
Transformer and Speciality Oils,532.32,568.38,435.22,"2,105.88","1,698.53"
Power/Telecom Cable,335.90,285.64,280.16,"1,116.74",863.67
Others/Unallocated,11.38,9.62,10.66,46.17,40.11
Total,"1,773.81","1,502.27","1,310.93","5,838.68","4,853.41"
Less: Inter-Segment Revenue,"6,31",3.40,4.93,20.15,21.43
Net Sales/ Income from operations,"1,767.50","1,498.87","1,305.99","5,818.53","4,831.98"
