0,1
Molecule,For Country
Femarelle Food Supplement OTC,UK
Washdent Food supplement OTC,UK
Febuxostat,DEand ES
Erlotinib,RO
Atomoxetine,"DE, UK, NL, SE, DK, CZ, SK, PL"
Marimer range extensions,PL
Bendamustine,ES
Gefitinib,"DE, UK, NL, SE, DK, CZ, PL, RO"
Esomeprazole AOK DE,DE
Esomeprazole OLS,UK
Levetiracetam,"DE, ES"
Prasugrel,DE
Abacavir+Lamivudine,"ES, NL"
Entecavir extension,"CZ, SK"
Dermikelp,UK
Darunavir,"DK, SE, DE, NL, RO, PL"
Fulvestrant,"CZ,DE,NL,NO,PL,RO,SK,ES,SE,UK,DK"
Quetiapine SR,DE
Valganciclovir,"DE, UK"
Galantamin,DE
Posaconazole,"DE, UK, NL, DK, SE, RO, CZ, SK"
Ranolazine,"DE, UK"
Tenofovir+Emtricitabine+Efavirenz,"DE, UK, NL, ES, DK, SE"
