0,1,2,3,4,5,6,7
"STEEL AUTHORITY OF INDIA LIMITEDCIN: L27109DL1973G01006454REGISTERED OFFICE: ISPAT BHAWAN, LODI ROAD, NEW DELHI - 110 003Tel:+91 11-24367481, Fax:+91- 11 24367015, E-mail: investor.relation@sailex.cotn. Website:www.sail.co.inSEGMENT REVENUE, RESULTS, ASSETS AND LIABILITIES? Crore unless stated otherwise",,,,,,,
Particulars,STANDALONE,CONSOLIDATED,,,,,
Quarter ended,Year ended,Year ended,,,,,
"31stMarch, 2018","31ltDec, 2017","31** March, 2017","31stMarch, 2018","31** March, 2017","31** March, 201 fl","31s* March, 2017",
(Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Audited),
Segment revenue (Revenue from operations),,,,,,,
- Bhilai Steel Plant,4584.42,4261.42,4193.37,16497.88,14926.60,16497.88,14926.60
- Durgapur Steel Plant,2365.72,2110.31,1718.42,7426.79,6447.73,7426.79,6447.73
- Rourkela Steel Plant,3680.42,3247.20,2912.87,12530.66,10060.90,12530.66,10060.90
- Bokaro Steel Plant,3939.77,3693.63,3546.32,14468.71,12221.67,14468.71,12221.67
- II SCO Steel Plant,2192.32,1716.61,1514.99,6900.29,4779.38,6900.29,4779.38
- Alloy Steels Plant,184.47,160.19,138.98,654.60,616.92,654.60,616.92
- Salem Steel Plant,295.48,436.15,507.55,1363.14,2032.36,1363.14,2032.36
- Visvesvaraya Iron & Steel Plant,43.82,36.52,55.44,164.09,196.99,164.09,196.99
- Others,1077.78,1077.91,981.98,4061.44,3521.65,4065.24,3583.50
Total segment revenue,18364.20,16739.94,15569.92,64067.60,54804.20,64071.40,54866.05
Less: Inter-segment revenue,1326.37,1416.29,1335.74,5105.24,5037.10,5105.24,5037.10
Net revenue from operations,17037.83,15323.65,14234.18,58962.36,49767.10,58966.16,49828.95
Segment results (Profit / (Loss) before,,,,,,,
"interest, exceptional items and tax)",,,,,,,
- Bhilai Steel Plant,565.61,179.62,344.88,1240.52,546.87,1240.52,546.87
- Durgapur Steel Plant,147.79,68.75,(320.36),(58.57),(724.42),(58.57),(724.42)
- Rourkela Steel Plant,432.58,287.57,(211.91),398.70,(703.22),398.70,(703.22)
- Bokaro Steel Plant,553.49,314.41,218.30,804.13,251.85,804.13,251.85
- IISCO Steel Plant,271.64,(158.02),(447.97),(329.50),(1326.32),(329.50),(1326.32)
- Alloy Steels Plant,(13.86),(3.95),7.56,(25.84),(1.78),(25.84),<1-78)
- Salem Steel Plant,(21.80),(7.79),(28.78),(118.24),(112.45),(118.24),(112.45)
- Visvesvaraya Iron & Steel Plant,(15.03),(31.77),(25.20),(108.34),(114.88),(108.34),(114.88)
- Others,(194.59),"151,31",(235.50),234.52,78.05,466.83,213.22
Total,1725.83,800.13,(698.98),2037.38,(2106.30),2269.69,(1971.13)
Less: Interest expenses,916.91,674.51,720.18,2822.75,2527.82,2822.75,2527.82
Less: Exceptional items,(377.44),43.35,(0.33),(26.43),216.74,(26.43),216.74
Profit / (Loss) before Tax,1186.36,82.27,(1418.83),(758.94),(4850.86),(526.63),(4715.69)
Segment Assets,,,,,â€¢,,
- Bhilai Steel Plant,28756.68,27894.95,"27079,13",28756.68,27079.13,28756.68,27079.13
- Durgapur Steel Plant,6400.05,6325.76,6006.72,6400.05,6006.72,6400.05,6006.72
- Rourkela Steel Plant,19484.61,19348.94,18906.12,19484.61,18906.12,19484.61,18906.12
- Bokaro Steel Plant,14524.30,13888.13,14437.15,14524.30,14437.15,14524.30,14437.15
- IISCO Steel Plant,18770.09,18806.16,18836.19,18770.09,18836.19,18770.09,18836.19
- Alloy Steels Plant,518.32,531.05,600.26,518.32,600.26,518.32,600.26
- Salem Steel Plant,2459.07,2351.58,2554.16,2459.07,2554.16,2459.07,2554.16
- Visvesvaraya Iron & Steel Plant,533.47,558.98,678.16,533.47,678.16,533.47,678.16
- Others,22743.21,21110.81,17441.58,22743.21,17441.58,23994.38,"18517,35"
Total,114189.80,110816.36,106539.47,114189.80,106539.47,115440.97,107615.24
Segment Liabilities,,,,,,,
- Bhilai Steel Plant,7409.47,7177.30,6872 38,7409.47,6872.38,7409.47,6872.38
- Durgapur Steel Plant,2364.33,2379.81,2060.83,2364.33,2060.83,2364.33,2060.83
- Rourkela Steel Plant,4017.17,3864.14,3821.43,4017.17,3821.43,4017.17,3821.43
- Bokaro Steel Plant,3746.95,3959.83,3284.97,3746.95,3284.97,3746.95,3284.97
- IISCO Steel Plant,1922.70,2134.09,1577.12,1922.70,1577.12,1922.70,1577.12
-AlloySteels Plant,207.46,219.48,232.30,"207,46","232,30",207.46,232.30
- Salem Steel Plant,383.28,339.66,372.66,383.28,372.66,383.28,372.66
- Visvesvaraya Iron & Steel Plant,79.88,107.85,151.41,79.88,151.41,79.88,151.41
- Others,28567.73,31178.65,33069.83,28567.73,"33069,83",28585.91,33112.39
Unallocated Liabilities,29777.16,24734.68,19087.48,29777.16,19087.48,29777.16,"19087,48"
Total,78476.13,76095.49,70530.41,78476.13,70530.41,78494.31,70572.97
Note:,,,,,,,
