0,1,2,3
SI.No.,Particulars,Year Ended31.03.2018,Year Ended31.03.2017
(i),Credit Rating,CRISILAAA(Stable),CRISILAAA(Stable)
(ii),Asset Cover available,1.87 times,1.60 times
(iii),Debt Equity Ratio,1.14:1,1.66:1
(iv),Debt Service Coverage Ratio{Profit After Tax+Finance Cost+Depreciation &Impairment}/{Finance Cost+Principal Repayment ofLong Term Debt},0.87 times,5.94 times
(v),Interest Service Coverage Ratio{Profit Before Tax + Finance Cost + Depreciation &Impairment} / {Finance Cost},6.62 times,7.25 times
(Vi),"Outstanding Redeemable Preference Shares(100,00,00,000 Non-Convertible Cumulative RedeemablePreference Shares of ? 10 each) (Not listed)",? 1000.00 crore,? 1000.00 crore
(vii),a)    Debenture Redemption Reserveb)    Capital Redemption Reserve,?250.00 crore?600.00 crore,?200.00 crore?400.00 crore
(viii),Net Worth{(Paid up share capital+Other Equity (including OCI)},?3856.49 crore,?3313.80 crore
(ix),Paid up Debt Capital/Outstanding Debt (Bonds/Debentures) excluding Outstanding RedeemablePreference Shares,?1000.00 crore,?1000.00 crore
