0,1,2,3,4,5
STEEL & POWER,,,,,
1,CONSOLIDATED FINANCIAL RESULTS,,,,
,Year on Year (Quarter),,,,
,Parameter,Quarter 4,Change(%),,
2017-18,2016-17,,,,
Turnover,"8,599","6,756",+27%,,
EBITDA,"2,136","1,552",+38%,,
EBITDA %,25%,23%,,,
Depreciation + Amortization,960,1006,-5%,,
Interest,"1,071",864,+24%,,
PBT Before Exceptional,106,(309),,,
Exceptional Item,438,(253),,,
PBT,(332),(56),,,
PAT,(426),(98),,,
,Quarter on Quarter,,,,
,Parameter,2017-18,Change(%),,
Q4,Q3,,,,
Turnover,"8,599","6,993",+23%,,
EBITDA,"2,136","1,607",+33%,,
EBITDA %,25%,23%,,,
Depreciation + Amortization,960,963,,,
Interest,"1,071",967,+11%,,
PBT (Before Exceptional),106,(323),,,
Exceptional,438,â€”,,,
PBT,(332),(323),,,
PAT,(426),(277),,,
,Year on Year (Full Year),,,,
,Parameter,FY18,FY17,Change(%),
Turnover,"27,841","22,696",+23%,,
EBITDA,"6,469","4,709",+37%,,
EBITDA %,23%,21%,,,
Depreciation + Amortization,"3,883","3,949",-2%,,
Interest,"3,866","3,441",+12%,,
PBT (Before Exceptional),"(1,277)","(2,671)",,,
Exceptional,587,372,,,
PBT,"(1,864)","(3,043)",,,
PAT,"(1,624)","(2,540)",,,
,"JSPI^Tinanaal Results 4Q & FY18 """,,,,
