0,1,2,3,4,5,6,7
Description,Three Months Ended,Year Ended,Year Ended,,,,
Standalone,Standalone,Consolidated,,,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017,
Unaudited,Audited,Aud,ited,,,,
Imoairment reversal / (loss) in the value of equity instruments in subsidiaries and joint ventures_[net^__,68.03,"(26,507.72)","17,429.49","(26,439.69)",17.429.49,-,-
Impairment reversal / (loss) allowance on loans (includinq interest) to a subsidiar^net]__,-,"25,494.07","(24,414.08)","24,237.15","(24,414.08)",-,-
Provision for obligations relating to a subsidiary,-,-,"(28,100.00)",-,(28.100.00),-,(8.128.22)
Effect of translation difference on conversion of loan to equity instrument in subsidiary,-,"1,013.65",-,1.013.65,-,-,-
(Loss) on sale of investments,(67.71),-,-,(67.71),-,-,-
Gain on disposal of interest in a former ioint venture,,-,-,,-,-,"18,745.78"
Imoairment in value_of_goodwill__,-,-,-,-,-,-,(9.606.16)
Provision for losses relatinq to ioint venture entities (net) - (charge)/ reversal,-,-,-,-,-,-,"1,457.83"
Total,0.32,-,"(35,084.59)","(1,256.60)","(35,084.59)",-,"2,469.23"
