0,1,2,3
SI.No.,Particulars,Year Ended 31.03.2018,Year Ended 31.03.2017
(i),Credit Rating,CRISIL AAA (Stable),CRISIL AAA (Stable)
(ii),Asset Cover available,14.07 times,13.61 times
(Mi),Debt Equity Ratio,0.53 : 1,0.55 : 1
(iv),Debt Service Coverage Ratio{Profit After Tax + Finance Cost +Depreciation} / {Finance Cost + PrincipalRepayment (Long Term)},3.31 times,2.03 times
(v),Interest Service Coverage Ratio{Profit Before Tax + Finance Cost +Depreciation} / {Finance Cost},12.43 times,9.94 times
(vi),Outstanding Redeemable Preference Shares,Nil,Nil
(vii),Debenture Redemption Reserve,"? 2,952.48 crore","? 2,611.11 crore"
(viii),Net Worth{(Paid up share capital + Other Equity(including OCI)},"? 1,10,171.02 crore","? 99,728.72 crore"
(ix),Paid up Debt Capital / Outstanding Debt(Bonds/ Debentures)*,"? 10,412.14","? 10,891.89"
