0,1
Sr.No,Name of Entities
1,"Glenmark Pharmaceuticals (Europe) R&D Ltd., U.K."
2,"Glenmark Pharmaceuticals Europe Ltd., U.K."
3,Glenmark Pharmaceuticals S.R.O.
4,"Glenmark Pharmaceuticals SK, S.R.O."
5,Glenmark Pharmaceuticals S. A.
6,Glenmark Holding S.A.
7,Glenmark Pharmaceuticals S.R.L
8,Glenmark Pharmaceuticals SP z.o.o.
9,Glenmark Pharmaceuticals Inc. (formerly Glenmark Generics Inc.)
10,Glenmark Therapeutics Inc.
11,Glenmark Farmaceutica Ltda
12,Glenmark Generics S.A
13,"Glenmark Pharmaceuticals Mexico, S.A. DE C.V."
14,Glenmark Pharmaceuticals Peru SAC
15,"Glenmark Pharmaceuticals Colombia SAS, Colombia (Formerly known as GlenmarkPharmaceuticals Colombia Ltda., Colombia)"
16,Glenmark Uruguay S.A.
17,"Glenmark Pharmaceuticals Venezuela, C.A"
18,Glenmark Dominicana SRL
19,Glenmark Pharmaceuticals Egypt S.A.E.
20,Glenmark Pharmaceuticals FZE
21,Glenmark Impex L.L.C
22,Glenmark Philippines Inc.
23,Glenmark Pharmaceuticals (Nigeria) Ltd
24,Glenmark Pharmaceuticals Malaysia Sdn Bhd
25,Glenmark Pharmaceuticals (Australia) Pty Ltd
26,Glenmark South Africa (pty) Ltd
27,Glenmark Pharmaceuticals South Africa (pty) Ltd
28,Glenmark Pharmaceuticals (Thailand) Co. Ltd
29,Glenmark Pharmaceuticals B.V.(Formerly known as Glenmark Generics B.V.)
30,Glenmark Arzneimittel Gmbh
31,Glenmark Pharmaceuticals Canada Inc. (formerly Glenmark Generics Canada Inc.)
32,Glenmark Pharmaceuticals Kenya Ltd
33,Glenmark Therapeutics AG
34,"Viso Farmaceutica S.L., Spain"
35,Glenmark Specialty SA
36,Glenmark Pharmaceuticals Distribution s.r.o.
37,Glenmark Pharmaceuticals Nordic AB
38,Glenmark Ukraine LLC
39,Glenmark-Pharmaceuticals Ecuador S.A.
40,Glenmark Pharmaceuticals Singapore Pte. Ltd.
