0,1,2,3
51No.,Particulars,Year ended31.03.2018,Year ended31.03.2017
1,Credit Rating,CRISIL AAA (Stable)CARE AAA (Stable),CRISIL AAA (Stable)CARE AAA (Stable)
II,Asset Cover available for 7.3S% Secured Non-ConvertibleDebentures 2022A,1.55 times,1.55 times
III,Debt Equity Ratio,0.68:1,0.78:1
IV,Debt Service Coverage Ratio(Profit before interest and tax+ Depreciation)/(Finance cost* Longterm debt payment),4.81 times,4.75 times
V,Interest Service Coverage Ratio(Profit before interest and tax + Depreciation) / (Finance cost),17.62 times,27.08 times
VI,Outstanding Redeemable Preference Shares,Nil,Nil
VII,Debenture Redemption Reserve,"? 1,108.56 crores",? 810.82 crores
VIII,Net Worth (Equity share capital + Other Equity),"?34,152.00 crores","?29,668.38 crores"
IX,Outstanding Debt,"^23,350.67 crores","? 23,1S9.21 crores"
