0,1,2,3,4
"Statement on Inmact of Audit Qualifications for the Financial Year ended March31.2018[SeeRegulation33 / 52of the SEBI (LODR) (Amendment) Regulations,2016]fin crores except for EPS)",,,,
I.,SI. No.,Particulars,Audited Figures(as reportedbefore adjustingfor qualifications),Adjusted Figures(audited figures afteradjusting forqualifications)#
,1.,Turnover / Total income (Includingother income),"27,844.25","27,844.25"
,2.,Total Expenditure after ExceptionalItems [including finance cost (net)and excluding income taxes),"29,708.30","31,064.09"
3.,Net Profit/fLoss) (before OCI),"(1,615.50)","(2,971.29)",
4.,Earnings Per Share (basic),(15.38),(30.18),
5.,Total Assets,"89,230.42","87,874.63",
6.,Total Liabilities including minorityinterest (Excluding shareholders'fund),"58,845.80","58,845.80",
7.,Net Worth (including fair valuation),"29,284.09","27,928.30",
8.,Any other financial item(s) (as feltappropriate by the management),Nil,Nil,
II.,,Audit Qualification,,
,11(1) (a),Details of Audit Qualification:,"Reference is invited to Para 3 of independentauditors' report on consolidated auditedfinancials results about additional levy paidamounting to Rs. 1355.79 cr. (being differentialamount between Gross and Net) as stated innote no. 5 to the accompanying consolidatedaudited financial results, which is shown asgood and recoverable.",
,(b),Type of Audit Qualification,Adverse Opinion,
,(c),Frequency of Qualification,Appeared since financial year 2014-15,
,(d),"For Audit Qualification(s) wherethe impact is quantified by theauditor, Management's Views:","Rs. 1355.79 cr., the company based on legaladvice is sanguine of obtaining appropriaterelief in respect of same (note no. 5).",
,(e),For Audit Qualification(s) wherethe impact is not quantified by theauditor:,NA,
#    without considering deferred tax on Rs. 1355.79 cr.#    without considering impact of qualification referred in II(2)(a) below,,,,
