0,1,2,3,4,5,6
Particulars,IDThroe MonthsEndod31 si Msr 2018,(2)Precod *!gThree MonthsEnded31st Dec 2017,(3)CorrespondngThree MonthsEnded31st Mar 2017,(«)Nne MonthsEnded31st Mar 2018,(5)CorrespondingNine MonthsEnded31st Mar 2017,(5)PreviousYear Ended30th June 2017
,(Unaudited),(Unaudited),(Unaudited),(Unaudited),(Unaudited),(Audited)
1 Sogmont Rovonuo- Grooming,35 301,33 215,45 013,99 403,1 00 960,1 44 065
• Oral Caro,0 B53,7 537,8 441,27 306,25 096,34 759
Total Incomo from Operations,45 154,40 752,53 454,1 26 709,1 35 065,1 78 824
2.Segment Results (Profit/(Loss)) before finance costs and lax- Groomng,8 047,7 441,13 473,23 497,26 984,30 164
- Oral Caro,2 486,1 430,1 936,5617,2 429,4 558
Total Sogmont Rosults,10 533,8 871,15 409,29 114,29 413,34 722
Less finance costs,I 84),( 139),( 205),( 334),( 405),( 674)
Add (Loss) Unalocabto Income net of Unalocable Expenditure,235,126,549,435,2 832,3384
Total Profit Boforo Tax,10 684,8 858,15 753,29 215,31 839,37 432
3 Segment assets- Groom n g,64 993,64 857,55 042,64 993,55 042,56 076
- Oral Caro,6 899,7 513,7143,6 899,7 143,7 138
Total Sogmont Assots,71 892,72 370,62 185,71 892,62 185,63 214
- Unallocated Corporate Assets,41 664,37 229,96 884,41 664,96 884,36 632
Total Assots,1 13 556,1 09 599,1 59 069,1 13 556,1 59 069,99 846
4 Sogmont KabftiOos- Grooming,25 397,27 199,29 898,25 397,29 898,27 581
- Oral Coro,0 848,7 745,7815,6 848,7815,6 764
Total Sogmont Liabilities,32 245,34 944,37 713,32 245,37 713,34 345
- Unallocated Corporate Liabitios,15 605,16 556,14 041,15 605,14 041,15 440
Total Liabilities,47 850,51 500,51 754,47 850,51 754,49 785
