0,1
"26,112","25,411"
"2,656","2,584"
"1,071",
"(2,909)","1,002"
(36),30
"2,814",1
11,(2)
"(3,533)","(3,463)"
"(1,824)","(1,150)"
423,454
"24,785","24,866"
"3,942","(6,130)"
309,(292)
"1,542","(3,223)"
"(9,259)","1,218"
799,"(1,118)"
"1,596","8,281"
"(1,802)",(963)
"(1,330)","1,284"
(917),"2,298"
(857),(657)
"18,808","25,563"
"(7,888)","(8,338)"
"10,919","17,225"
"(3,418)","(5,081)"
"(5,103)","(3,000)"
23,25
-,12
"4,754","(7,389)"
"3,533","3,463"
"1,824","1,150"
"1,613","(10,819)"
"(9,647)","(6,870)"
"1,490",-
"(2,000)",
(423),(454)
"â€˜ (10,579)","(7,324)"
,
"' 1,953",(917)
"3,106","4,023"
"5,059","3,106"
L953,(917)
4,31
"5,055","3,076"
~f5.059,"3,106"
