0,1,2,3,4
particulars,Quarter Bided,Year Ended,,
Mar-18,Mar-17,Mar-18,Mar-17,
Depreciation,"28,309","27,326","107,222","105,036"
Amortization,"13,738","12,678","53,260","46,552"
Depreciation & Amortization,"42,047","40,004","160,482","151,588"
8.1.3 Scheduleof IncomeTax,,,,Amount in Rs Mn
Particulars,Quarter Bided,Year Ended,,
Mar-18,Mar-17,Mar-18,Mar-17,
Current tax expense,"1,606","(9,632)","11,981","14,677"
Deferred tax expense / (income),"(4,316)","13,852","(7,195)","19,416"
Incom e tax expense,"(2,709)","4,220","4,786","34,093"
