0,1,2,3
,,Year ended,
,,"March 31,2018","March 31,2017"
S.No.,Particulars,Audited,Audited
1,Total income,"839,367","955,889"
2,Profit before exceptional items and tax,"40,601","88,930"
3,Profit before tax,"32,670","77,233"
4,Profit for the year,"21,835","42,414"
5,Total comprehensive income / (loss) for the year,"7,640","(8,454)"
6,Paid-up equity share capital (Face value : Rs.51-each),"19,987","19,987"
7,Other equity,"675,357","654,576"
8,Earnings per share (Face value : Rs.51-each) (In Rupees)Basic,2.75,9.51
,Diluted,2.75,9.51
