0,1,2,3
,,,Country of
Subsidiaries,Subsidiaries,Subsidiaries,Incorporation
,Wipro Financial Services UKLimited,,U.K.
Wipro Cyprus Private Limited,,,Cyprus
,Wipro Doha LLC #,,Qatar
,Wipro Technologies S.A DEc.v,,Mexico
,Wipro BPO Philippines LTD.,,Philippines
,Inc.Wipro Holdings Hungary,,Hungary
,Korlatolt Felelossegu Tarsasag.,Wipro Holdings InvestmentKorlatolt Felelossegu Tarsasag,Hungary
,Wipro Technologies SA,,Argentina
,Wipro Information TechnologyEgypt SAE,,Egypt
,Wipro Arabia Co. Limited *,Womenâ€™s Business ParkTechnologies Limited *,Saudi ArabiaSaudi Arabia
,Wipro Poland Sp. Z.o.o,,Poland
,Wipro IT Services PolandSp.zo.o,,Poland
,Wipro Technologies Australia,,Australia
,Pty LtdWipro Corporate Technologies,,Ghana
,Ghana LimitedWipro Technologies South,,South Africa
,Africa (Proprietary) Limited,Wipro Technologies Nigeria Limited,Nigeria
,Wipro IT Service Ukraine,,Ukraine
,LLC,,Netherlands
,Wipro Information TechnologyNetherlands BV.,Wipro Portugal S.A.(Ai,Portugal
,,"Wipro Technologies Limited, Russia",Russia
,,Wipro Technology Chile SPA,Chile
,,Wipro Solutions Canada Limited,Canada
,,Wipro Information TechnologyKazakhstan LLP,Kazakhstan
,,Wipro Technologies W.T. SociedadAnonima,Costa Rica
,,Wipro Outsourcing Services,Ireland
,,"(Ireland) LimitedWipro Technologies VZ, C.A.",Venezuela
,,Wipro Technologies Peru S.A.C,Peru
,,InfoSERVER S.A.,Brazil
,,Wipro do Brasil Technologia Ltda(A),Brazil
,Wipro Technologies SRL,,Romania
,PT WT Indonesia,,Indonesia
,Wipro (Thailand) Co Limited,,Thailand
,Wipro Bahrain Limited WLL,,..Bahrain-
