0,1,2
Sr.No.,Name of companies,Country ofIncorporation
A..,Subsidiaries,
1,GAIL Global (Singapore) PTE Ltd,Singapore
2,GAIL Global (USA) Inc.,USA
3,GAIL GAS Limited,India
4,Tripura Natural Gas Co Ltd. (TNGCL),India
B.,Joint Ventures,
1,Central UP Gas Limited,India
2,Green Gas Limited,India
3,Ratnagiri Gas & Power (Private) Ltd(RGPPL),India
4,Konkan LNG Private Limited,India
5,ONGC Petro-additions Limited (OPaL),India
6,Maharashtra Natural Gas Limited(MNGL),India
7,Aavantika Gas Limited,India
8,Bhagyanagar Gas Limited,India
9,Talcher Fertilizers Limited,India
10,TAPI Pipeline Company Limited,Isle of Man
C.,Associates,
1,Indraprastha Gas Limited,India
2,Petronet LNG Limited,India
3,Mahanagar Gas Limited,India
4,Brahmaputra Cracker & Polymer Ltd,India
5,Fayum Gas,Egypt
6,National Gas Company “Nat Gas”,Egypt
7,China Gas Holding Limited,Bermuda
