0,1
Particulars,"As at March 31,2018"
Capital Redemption Reserve,R390 lacs
Debenture Redemption Reserve,"^ 5,001 lacs"
Net worth,"^ 2,60,609 lacs"
"Net Profit aftertax before non-controlling interest for year ended March31, 2018","^ 23,329 lacs"
"Earnings Per Share (of ^10 each) for year ended March 31, 2018",^ 58.83
Debt Equity Ratio,0.33
Debt Service Coverage Ratio('DSCR'),0.94
Interest Service Coverage Ratio('ISCR'),4.49
