0,1,2,3,4,5
Particulars,Quarter ended,Year ended,,,
(Audited),(Unaudited),(Audited),(Audited),,
(Refer noteno: 6),,(Refer noteno: 6),,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,
Gross Sales / Income from Operations {inclusive of excise duty),63844,60028,58066,235787,219990
Less : Excise duty on Sales,,-,3286,2741,11986
Gross Sales / Income from Operations (exclusive of excise duty),63844,60028,54780,233046,208004
Segmentwise Gross Sales / Income from Operations (exclusive of excise duty),,,,,
Abrasives,27136,27028,24285,101843,93791
Ceramics,14928,12201,12640,50248,45140
Electrominerals,23663,22782,19274,88343,74889
Others,1735,1607,1634,6398,6592
Total,67462,63618,57833,246832,220412
Less: Intersegment revenue,3618,3590,3053,13786,12408
Gross Sales / Income from Operations (exclusive of excise duty),63844,60028,54780,233046,208004
