0,1,2
Adani Agri Logistics (Panipat) Ltd,,Adani Agri Logistics (Raman) Ltd
Adani Agri Logistics (Kannauj) Ltd,,Adani Tradecom LLP
Adani Agri Logistics (Mansa) Ltd,,Adani Tradewing LLP
Adani Agri Logistics (Bathinda) Ltd,,Adani Tradex LLP
Adani Agri Logistics (Moga) Ltd,,Adani Commodities LLP
Adani Agri Logistics (Barnala) Ltd,,Adani Renewable Power LLP
Adani Solar USA LLC,,Gare Pelma111Collieries Ltd
Queensland R1PA Finance Pty Ltd,,Adani Renewable Asset Holdings Pty Ltd
Adani Renewable Assets Pty Ltd,,Adani Renewable Assets Trust
Adani Rugby Run Trust,,Adani Rugby Run Pty Ltd
Adani Renewable Asset Holding Trust,,Adani Global Royal Holding Pte Ltd
Queensland R1PA Holdings Trust,,Queensland R1PA Holdings Pty Ltd
Queensland R1PA Pty Ltd,,Queensland RIPA Trust
