0,1,2,3
Particulars,Segments,31-Mar-18,
amSBBgm,YoY,,
Geography,Americas,0.7%,3.3%
Europe,7.3%,27.3%,
Asia Pacific,24.6%,86.1%,
,,,
Service Lines Split,Application Devt & Maint (ADM),0.3%,11.4%
Enterprise Solutions (ES),4.7%,0.3%,
Testing / Digital Assurance (QATS),2.0%,2.3%,
Business Intelligence & Analytics (BI&A),6.7%,15.0%,
Business Process Services (BPS),2.6%,20.9%,
Infrastructure Management Services (IMS),15.2%,37.8%,
,,,
Vertical Split,Banking & Financial Services,2.1%,14.6%
Travel & Transportation,13.6%,8.1%,
Healthcare & Insurance,-0.4%,14.7%,
Manufacturing & Consumer,13.0%,23.6%,
Professional Services,-2.9%,-5.6%,
