0,1,2
Unrealized gains on investment securities,$391,$609
Unrealized gain on derivative financial instruments,"17,179","4,906"
Intangibles,"7,584","8,532"
Property and equipment,"12,404","15,764"
Others,"13,481","11,198"
Total deferred tax liabilities,"$51,039","$41,009"
Net deferred tax assets,"$248,056","$269,226"
"The components of valuation allowance as of March 31, 2017 and 2018 are as follows:",,
,"March 31, 2017","March 31, 2018"
Business losses (Foreign),"($7,786)","($3,676)"
Others (Indian),"($17,904)",($204)
