0,1,2,3,4,5
1,"The above results have been reviewed by the Audit Committee and approved by the Board of Directors at its meeting held on May 30, 2018 The results for the quarter and yearended March 31, 2017 was audited, as applicable by the erstwhile statutory auditors of the Company",,,,
2,"The above said results are prepared in accordance with the Indian Accounting Standards (Ind-AS) as prescribed under Section 133 of the Companies Act, 2013.",,,,
3,"Pursuant to the introduction of Goods and Services Tax (GST) with effect from July 1, 2017. Central Excise. Value Added Tax etc. have been subsumed into GST In accordance withAccounting requirements, unlike Excise Duty, GST is not part of Revenue Accordingly, the adjusted Gross Sales and Service Income (i.e Net of GST and Excise duty, as applicable),is being provided below to facilitate comparison:(Rs. in lakhs)",,,,
Particulars,Quarter ended,Year ended,,,
31-03-2018(Audited)(Refer Note 8),31-12-2017(Unaudited),31-03-2017(Audited)(Refer Note 81,31-03-2018(Audited),31-03-2017(Audited),
Gross Sales and Service Income (A),"38,123","36,336","35,308","144,591","135,533"
Excise duty on Sales (B),-,.,"2,894","2,281","10,044"
Gross Sales and Service Income excluding excise duty onsales fC = (A-B)1,"38,123","36,336","32,414","142,310","125,489"
4a,"The above Consolidated Financial Results consists of Grindwell Norton Limited and its Subsidiary Saint Gobain Ceramic Materials Bhutan Private Limited The unaudited FinancialStatements of the Subsidiary Company, duly certified by the Management have been considered to prepare Consolidated Financial Results.",,,,
4b,"Key numbers of Standalone Financial Results of the Company for the year ended March 31, 2018 are as under(Rs. in Lakhs)",,,,
Particulars,Quarter ended,Year ended,,,
31-03-2018(Audited)(Refer Note 8i,31-12-2017(Unaudited),31-03-2017(Audited)(Refer Note 81,31-03-2018(Audited),31-03-2017(Audited),
Total Income,"38,443",36.473,"35,841","145,720","136,981"
Profit before tax,"6,644","5,802","4,659","22,211","17,274"
Net Profit for the period,"4,369",3.938,"3,275","14,716","11,601"
5,The Segmentwise information as required by Regulation 33 of SEBI (Listing Obligations and Disclosure Requirements) Regulations. 2015 is furnished in Annexure 1,,,,
6,"The figures for the corresponding previous period have been restated/regrouped wherever necessary, to make them comparable",,,,
7,"The financial results for the quarter and the year ended March 31, 2018 are available on the BSE Limited website, www bseindiacom, National Stock Exchange of India Limitedwebsite,www nseindia com and on the Company's website, www grindwellnorton co in",,,,
8,The figures for the last quarter are the balancing figures between the audited figures in respect of the full financial year and the published year to date figures upto the third quarter ofthe current financial year,,,,
9,"Dividend of Rs 5/- per equity share of Rs 5/- each, has been recommended by the Board of Directors, in the Board meeting held on May 30. 2018, which is subject to the approval ofshareholders at the ensuing Annual General Meeting",,,,
