0,1,2,3,4
Particulars,Standalone,Consolidated,,
Year Ended,Year Ended,,,
31-03-2018,31-03-2017,31-03-2018,31-03-2017,
Total Income,1.693.66,815.69,"1,078.76",713.82
(Less): Total Expenses,"(1,711.26)",(827.19),"(1,269.24)",(926.89)
Profit before exceptional items and tax,(17.60),(11.50),(190.48),(213.07)
Add / (Less): Exceptional Item (net),-,,0.20,
Profit before tax,(17.60),(11.50),(190.28),(213.07)
Less: Tax expense,(3.65),(2.57),(76.35),(174.27)
Profit after Tax,(13.95),(8.93),(113.93),(38.80)
