0,1,2,3,4
"Property, plant and equipment",,,"(5,089.96)","(4,934.02)"
Deferred tax asset arising on account of:,,,,
Adjustment for VRS expenditure,,,299.05,487.75
"Provision for loans, debts, deposits & advances",,,"2,L35.4S","2,346.99"
Defined benefit plans,,,718.82,"1,902.61"
Provision for Inventory,,,122.81,135.26
Provision for dimunition in investment,,,863.17,363.51
Impairment of assets,,,132.06,-
Net Liab due to profit transfer of Group Companies,,,"(5,496.19)","(4,004.31)"
Others,,,-,-
,,,"(6,314.76)","(3,202.21)"
Movement in deferred tax liabilities,,,,
Particulars,31 Match 2017,Recognised in,Recognised in,31 March 2018
,,profit and loss,Other,
,,,Comprehensive,
,,,Income,
"Property, plant and equipment","(4,934.02)",(155.94),,"(5,089.96)"
Adjustment for \TRS expenditure,4S7.75,(188.70),,299.05
"Provision for loans, debts, deposits & advances","2,346.99",(2 L 1.51),,"2,135.48"
Defined benefit plans,1.902.61,"(1,101.12)",(S2.67),718.82
Provision tor Inventory,135.26,f 12.45),,122.81
Provision for dimunition in investment,863.51,(0.34),,863.17
Impairment of assets,-,132.06,,132.06
Net Liab due to profit transfer of Group Companies,"(4,004.31)",,"(1,491.88)","(5,496.19)"
Others,_,-,,â–  -
