0,1,2,3,4,5,6
Sr No,Particulars,Quarter ended,Year ended,,,
"March 31, 2018(Audited)(Refer note 12)","December 31,2017(Unaudited)","March 31, 2017(Audited)(Refer note 12)","March 31, 2018(Audited)","March 31, 2017(Audited)",,
a,Revenue from operations,"4,000.26","3,777.14","3,221.78","14,423.53","13,223.23"
b,Profit before tax,654.4 3,573.20,271.64,"2,006.62","1,982.44"
c,Net profit for the period,635.41,486.47,283.94,"1,775.50","1,692.94"
d,Other comprehensive income,(44.70),32.96,67.74,(114.87),23.07
e,Total comprehensive income,590.71,519.43,351.68,"1,660.63","1,716.01"
Details of Foreign exchange gain / (loss) included in Other income :,,,,,,
Particulars,Quarter ended,Year ended,,,,
,,"March 31, 2018","December 31,","March 31, 2017","March 31, 2018","March 31, 2017"
,,(Audited),2017,(Audited),(Audited),(Audited)
,,(Refer note 12),(Unaudited),(Refer note 12),,
Foreign exchange gainj(loss),113.27,(3.52),(27.63),254.31,51.93,
