0,1,2
Description,Yearended31.03.2017Audited,
Standalone,Consolidated,
Total Equity as reported under previous GAAP,27.307,"49,059"
Adjustments:,,
Impact of financial assets at amortised cost,(9),(10)
Impact of employee share based payment at fair value,(123),(176)
Impact of financial liabilities at amortised cost,"2,117",(900)
Impact of derivative instruments carried at fair value through profit and loss,-,"1,241"
Impact of investments carried at fair value through profit and loss,-,41
Impact on PPE,-,"(8,389)"
Impact of translation of presentation currency,-,(511)
Impact of remeasurements of post-employment benefit obligations,(34),(106)
Prior period expense,(1.371),"(1,388)"
Tax impact on above adjustments,(330),209
Other Comprehensive income,23,69
Share Option Outstanding Account,157,157
Foreign Currency Translation Reserve,-,388
Securities Premium,19,19
Total comprehensive income after tax as per Ind AS,"27,756",39.703
