0,1,2,3,4,5,6,7,8,9
Particulars,Consolidated,,Standalone,,,,,,
,3 Months ended,3 Months ended,Corresponding 3Months ended,Year ended,3 Months ended,3 Months ended,Corresponding 3Months ended,Year ended,
,31-Mar-18,31-Oec-17,31-Mar-17,31-Oec-17,31-Mar-18,31-Oec-2017,31-Mar-2017,31-Dec-2017,
Unaudited(Refer note 6),Audited,Unaudited(Refer note 6),Audited,Unaudited(Refer note 6),Audited,Unaudited(Refer note 6),Audited,,
1. Operating revenue,,,,,,,,,
A Rating services,114.97,125 71,114.59,480.29,114.97,125.71,114.59,480 29,
B Research services,273.81,286.99,265 55,1.080 39,172.75,179.33,186 00,697 09,
C. Advisory services,31.17,28.20,21.21,97 78,-,-,-,-,
1 D. Total revenue from operations,419.95,440.90,401.35,1.658.46,287.72,305.04,300.59,"1,177.38",
2. Less Inter segment revenue,-,*,-,-,-,-,-,-,
3. Net income from operations (ID - 2),419.95,440.90,401.35,"1,658.46",287.72,305.04,300.59,1.177.38,
4. Segment profits,,,,,,,,,
A Rating services,38 26,4328,30 28,151 20,38.08,43 16,30 28,151 04,
B Research services,84.89,89.77,82.97,308.46,60 65,51.72,6123,201 42,
C. Advisory services,343,4 83,0.36,9.24,~,-,â€¢,-,
4 D. Total operating profit,126.58,137.88,113.61,468.90,98.73,94.88,91.51,352.46,
,,,,,,,,,
5. Add / ( Less),,,,,,,,,
i Interest,(0.53),(029),,(0 41),(050),(0.29),-,(0 41),
li Other unallocable income net of unallocable eicpenditure (Refer note 5),228,064,4 04,1176,2.65,1.84,6.84,2252,
lii Depreciation / Amortisation (Unallocable),(10.48),(9.89),(12.85),(46.64),(7 45),(7 27),(6 95)|,(28.52),
6. Net profit from ordinary activities before tax (4 + 5),117.85,128.34,104.80,433.61,93.43,89.16,91.40,346.05,
,,,,,,,,,
Segment Assets (Refer note 7),,,,,,,,,
A Rating services,62 38,75 26,118.47,75.26,62.38,75.27,118 47,75.27,
B Research services,655 37,591 31,555.11,591.31,334.76,269 02,315.07,269 02,
C Advisory services,132.40,72 01,57.81,7Z01,-,-,-,-,
D Unallocable (Net),596 66,756 13,653.37,756.13,664.73,771 96,707.38,771.96,
,,,,,,,,,
Segment Liabilities (Refer note 7),,,,,,,,,
A Rating services,69.40,124.65,118.38,124.65,69.40,124 65,118.38,124.65,
B Research services,164.20,217 24,131.32,217 24,88.28,114.71,72.88,114 71,
C Advisory services,27 60,27.99,19.15,27.99,*,-,-,-,
D. Unallocable (Net),59.31,76 26,34 53,76 26,53.44,6519,34.59,65 19,
,,,,,,,,,
Capital employed (Refer ncte 7),,,,,,,,,
A Rating services,(7 02),(49.39),0 09,(49 39),(7.02),(49 38),0 09,(49 38),
B. Research services,491.17,37407,423.79,374.07,246.48,154 31,242 19,154.31,
C- Advisory services,104.80,44.02,38.66,44.02,-,-,-,-,
D Unallocable (Net),537 35,679.87,618.84,679.87,611 29,706.77,672.79,706 77,
