0,1,2,3,4,5
,"Mar 31,2018","Dec 31, 2017","Sep 30, 2017","Jun 30, 2017","Mar 31,2017"
Return on Equity attributable to equity holders ofparent (LTM),1.6%,2.0%,2.4%,4.1%,5.9%
Return on Capital Employed (LTM),4.7%,4.9%,5.1%,5.6%,6.6%
Net Debt to EBITDA (LTM),3.23,3.01,2.91,2.67,2.63
Net Debt to EBITDA (Annualised),3.50,3.12,2.95,2.89,2.95
Assets Turnover ratio (LTM),49.5%,50.8%,52.8%,55.0%,57.5%
Interest Coverage ratio (times),4.04,4.30,4.65,4.50,4.46
Net debt to Equity attributable to equity holdersof parent (Times)Per share data (for the period),1.37,1.28,1.31,1.29,1.35
Net profit/(loss) per common share (in Rs),0.21,0.77,0.86,0.92,0.93
Net prof it/(loss) per diluted share (in Rs),0.21,0.77,0.86,0.92,0.93
Book Value Fter Equity Share (in Rs),174.0,178.7,174.1,169.9,168.8
Market Capitalization (Rs Bn),"1,595","2,116","1,554","1,516","1,399"
Enterprise Value (Rs Bn),"2,596","3,082","2,522","2,449","2,369"
