0,1,2,3
Sr.No.,Particulars,As at31.03.2018(Audited),As at31.03.2017(Audited)
B,ASSETS:,,
1,Non-current assets,,
,"(a) Property,plant& equipment - Tangible Assets",13.73,2.84
,(b) Non-current investments,"57,094.87","53,061.76"
,(c) Long-term loans and advances,"21,791.80","31,555.99"
2,Current assets,,
,(a) Trade receivables,379.35,232.71
,(b) Cash and bank balance,798.24,5.33
,(c) Short-term loans and advances,"12,141.51",516.24
,(d) Other current assets,769.20,657.23
,TOTAL- ASSETS,"92,988.70","86,032.10"
