0,1,2,3,4,5,6
Annexure-1,,,,,,
ISIN NO,Series,ISSUE SIZERs in Cr,Maturity date,Principal / InterestDue date,Category,Paid / Un Paid
INE121A08MY6,SD33,15.00,29-Sep-23,3-Oct-17,Interest,Paid
INE121A08LV4,PDI 1,150.00,12-Oct-20,ll-Oct-17,Interest,Paid
INE121A07MU6,NCD,150.00,27-Sep-19,13-Oct-17,Interest,Paid
INE121A07IK5,NCD,11.00,19-Oct-17,19-Oct-17,Principal + Interest,Paid
INE121A08MZ3,PDI 16,24.50,23-Oct-23,23-Oct-17,Interest,Paid
INE121A07MV4,NCD,100.00,24-Oct-19,25-Oct-17,Interest,Paid
INE121A07MW2,NCD,100.00,25-Oct-19,26-Oct-17,Interest,Paid
INE121A07MX0,NCD,100.00,24-Oct-19,26-Oct-17,Interest,Paid
INE121A08NW8,SD46,50.00,27-Oct-23,27-Oct-17,Interest,Paid
INE121A07MY8,NCD,100.00,24-Oct-19,27-Oct-17,Interest,Paid
INE121A08NA4,SD34,15.00,30-0ct-20,30-Oct-17,Interest,Paid
INE121A08NB2,PDI 16 A,50.00,30-Oct-23,30-Oct-17,Interest,Paid
INE121A08NX6,SD47,50.00,09-Nov-23,9Nov-17,Interest,Paid
INE121A08NY4,SD48,10.00,10-Nov-26,9-Nov-17,Interest,Paid
INE121A07IQ2,NCD,130.00,14-Nov-17,14-Nov-17,Principal + Interest,Paid
INE121A07MZ5,NCD,25.00,13-Nov-26,15-Nov-17,Interest,Paid
INE121A08NZ1,SD49,15.00,16-Nov-23,16-Nov-17,Interest,Paid
INE121A07LB8,NCD,100.00,20-Nov-17,20-NOV-17,Principal + Interest,Paid
INE121A08MC2,SD23,75.00,21-Nov-17,21-Nov-17,Principal + Interest,Paid
INE121A08OA2,SD50,50.00,23-Nov-23,23-Nov-17,Interest,Paid
INE121A08OB0,SDS1,100.00,24-Nov-23,24-Nov-17,Interest,Paid
INE121A07NB4,NCD,105.00,22-Nov-19,24-Nov-17,Interest,Paid
INE121A07LC6,NCD,15.00,27-NOV-17,27-Nov-17,Principal + Interest,Paid
INE121A07LD4,NCD,15.00,27-Nov-18,27-Nov-17,Interest,Paid
INE121A07LE2,NCD,70.00,27-Nov-19,27-Nov-17,Interest,Paid
INE121A08NVO,SD45,315.00,28-Nov-21,28-Nov-17,Interest,Paid
INE121A07NC2,NCD,100.00,28-Nov-19,28-Nov-17,Interest,Paid
INE121A07ND0,NCD,150.00,30-Nov-18,30-Nov-17,Interest,Paid
INE121A08MR0,SD29,25.00,05-Dec-22,5-Dec-17,Interest,Paid
INE121A08MD0,PDI 5,75.00,07-Dec-21,7-Dec-17,Interest,Paid
INE121A08MS8,PDI 13,"120,00",13-Dec-22,13-Dec-17,Interest,Paid
INE121A07IG3,NCD,11.00,13-Dec-17,13-Dec-17,Principal + Interest,Paid
INE121A08MT6,PDI 14,25.00,14-Dec-22,14-Dec-17,Interest,Paid
INE121A08ME8,PDI 6,100.00,27-Dec-21,26-Dec-17,Interest,Paid
INE121A08NC0,PDI 16 B,12.00,26-Dec-23,26-Dec-17,Interest,Paid
INE121A07GA0,NCD,250.00,26-Dec-17,26-Dec-17,Principal + Interest,Paid
INE121A08ND8,PDI 16 C,65.00,27-Dec-23,27-Dec-17,Interest,Paid
INE121A08NE6,PDI 16 D,26.10,27-Dec-23,27-Dec-17,Interest,Paid
INE121A08MU4,SD30,35.00,28-Dec-22,28-Dec-17,Interest,Paid
INE121A08LW2,PDI 2,101.05,29-Jun-21,29-Dec-17,Interest,Paid
INE121A07NE8,NCD,200.00,28-Dec-18,2-Jan-18,Interest,Paid
INE121A08MF5,PDI 7,35.00,06-Jan-22,8-Jan-18,Interest,Paid
INE121A08MV2,SD31,50.00,05-Dec-19,ll-Jan-18,Interest,Paid
INE121A08LY8,PDI 3,20.65,22-Jul-21,22-Jan-18,Interest,Paid
INE121A08NF3,PDI 16 E,5.00,23-Jan-24,23-Jan-18,Interest,Paid
INE121A08NG1,SD35,25.00,30-Jan-24,30-Jan-18,Interest,Paid
INE121A08MW0,PDI 15,30.00,07-Feb-23,7-Feb-18,Interest,Paid
INE121A07NF5,NCD,170.00,08-Feb-19,12-Feb-18,Interest,Paid
INE121A07NG3,NCD,150.00,14-Feb-19,14-Feb-18,Interest,Paid
INE121A08MB4,PDI 4,16.00,18-Aug-21,19-Feb-18,Interest,Paid
INE121A08MX8,SD32,25.00,05-Dec-19,20-Feb-18,Interest,Paid
INE121A07NH1,NCD,200.00,20-Feb-20,20-Feb-18,Interest,Paid
INE121A07LQ6,NCD,50.00,ll-Mar-19,20-Feb-18,Principal + Interest,Paid
INE121A08NH9,SD36,20.00,23-Feb-24,26-Feb-18,Interest,Paid
INE121A08NK3,SD37,10.00,24-Feb-21,26-Feb-18,Interest/&*',
