0,1
Name of the Company,Relationship
Apollo Hospitals Enterprise Limited,Parent
Apollo Home Healthcare (I) Limited,Subsidiary
Apollo Home Healthcare Limited,Subsidiary
AB Medical Centres Limited,Subsidiary
Samudra Health Care Enterprises Limited,Subsidiary
Imperial Hospitals & Research Centre Limited,Subsidiary
Apollo Hospitals (UK) Limited,Subsidiary
Apollo Health and Lifestyle Limited (AHLL),Subsidiary
Apollo Dialysis Private Limited,Step down subsidiary ofAHLL
Alliance Dental Care Limited,Step down subsidiary ofAHLL
Apollo Speciality Hospitals Private Limited,Step down subsidiary ofAHLL
Apollo Bangalore Cradle Limited,Step down subsidiary ofAHLL
Apollo Sugar Clinics Limited,Step down subsidiary ofAHLL
Kshema Healthcare Private Limited,Step down subsidiary ofAHLL
Apollo Nellore Hospital Limited,Subsidiary
Sapein Bio-sciences Private Limited,Subsidiary
Apollo Hospitals International Limited (AHIL),Subsidiary
Apollo-Amrish Oncology Services Private Limited,Associate of AHIL
Apollo CVHF Limited,Step down subsidiary ofAHIL
Western Hospitals Corporation Limited,Subsidiary
Apollo Lavasa Health Corporation Limited,Subsidiary
Apollo Rajashree Hospital private Limited,Subsidiary
Future Parking Private Limited,Subsidiary
Total Health,Subsidiary
Apollo Hospitals Singapore Pte Limited,Subsidiary
Assam Hospitals Limited,Subsidiary
Apollo Health Care Technologies Solution Limited,Subsidiary
Apollo Gleneaales Hospitals Limited,Joint venture
Apollo Gleneaqles PET-CT private Limited,Joint venture
ApoKos Rehab Private limited,Joint venture
Apollo Munich Health Insurance company Limited,Associate
Family Health Plan (TPA) Limited,Associate
Indraprastha Medical Corporation Limited,Associate
Stemcyte India Therapeutics Private Limited,Associate
