0,1,2,3,4,5
A CESCi I m i r (a,,,,,
"Registered Office: CESC House,Chowrlngfiee Square, Kolkata 700 001CIN :L31901WB1978PLC031411E-mail ID:cescllmited@rp-sg.ln; Website:wwwcescco,inTel: (033) 6499 0049: Fax: (033) 2212 4262",,,,,
Extract of Standalone Financial Results for the quarter and year ended 31 March 2018,,,,,
(Rs. crore),,,,,
Particulars,Threemonthsended3l.03.20lB,Three monthsended31.12.2017,Three monthsended31.03.2017,Tear Ended31.03.2018,Year Ended31.03.2017
,(Audited),(Unaudited),(Audited),(Audited),(Audited)
Total Income from operations,1M3,1749,1631,7939,7367
Net Profit for the period ( before tax and exceptional Items),372,197,379,1111,1101
Net Profit for the period before tax ( after exceptional Items),372,197,379,1111,1101
Net Profit for the period after Tax ( after exceptional items),292,154,295,871,863
Total comprehensive income for the period,298,152,281,861,824
Paid-up Equity Share Capital(Shares of Rs. 10 each),133,133,133,133,133
Reserves as shown in the Audited Balance Sheet of the previous year,,,,13549,13191
Earnings Per Share (EPS) ( Rs.) ( Face value of Rs. 10 each)Basic St Diluted {â™¦not annualised),22.08*,11.63*,22.29*,65 77,65.09
"The above is an extract of the detailed format of Financial Results tor the quarter and year ended on 31 March 201B filed with stock exchanges under Regulation 33 of the 5EBI (ListingObligations and Disclosure Requirements) Regulations ,2015 The full format of standalone Financial Results for the quarter and year ended on 31 March 2018 are available on stock exchangewebsites (www nselndla.cnm, www bseindia.com and www csc-india com) and on the company's website (www cesc co.in)",,,,,
,,,,ByOrdi/of(heBoard,
,,,,AnlrvddhaBaiuManaging Director,
"Dated : May 23,2013",,,,,
