0,1,2,3,4,5
Annexure - 2,,,,,
ISIN NO,Series,ISSUE SIZERs in Cr,Maturity date,Principal / InterestDue date,Category
INE121A08OD6,SD53,50.00,18-Jun-27,20-Jun-18,Interest
INE121A07LL7,476,25.00,20-Jun-18,20-Jun-18,Principal + Interest
INE121A08NC0,PDI 16B,12.00,26-Dec-23,25-Jun-18,Interest
INE121A08MK5,SD27,20.00,26-Jun-19,26-Jun-18,Interest
INE121A08NS6,PDI 17,25.00,27-Jun-24,27-Jun-18,Interest
INE121A08NE6,PDI 16D,26.10,27-Dec-23,27-Jun-18,Interest
INE121A08OE4,SD54,75.00,28-Jun-27,28-Jun-18,Interest
INE121A08LW2,PDI 2,101.05,29-Jun-21,29-Jun-18,Interest
INE121A08LX0,SD20,60.50,2-Jul-18,2-Jul-18,Principal + Interest
INE121A08LU6,SD19,50.00,6-Jul-20,6-JUI-18,Interest
INE121A08MF5,PDI 7,35.00,6-Jan-22,6-Jul-18,Interest
INE121A08NT4,PDI 18,17.40,9-Jul-24,9-Jul-18,Interest
INE121A07KP0,454,10.00,IO-Jul-18,10-Jul-18,Principal + Interest
INE121A07HX0,384,10.00,28-Jun-19,18-Jul-18,Interest
INE121A07HY8,385,30.00,18-Jul-19,18-Jul-18,Interest
INE121A08LY8,PDI 3,20.65,22-Jul-21,22-Jul-18,Interest
INE121A07KZ9,464,15.00,27-Jul-18,27-Jul-18,Principal + Interest
INE121A07NW0,539,500.00,26-Ju 1-19,30-Jul-18,Interest
INE121A07NW0,541,200.00,26-Jul-19,30-Jul-18,Interest
INE121A08LZ5,SD21,64.30,1 -Aug-18,1-Aug-18,Principal + Interest
INE121A08ML3,PDI 9,50 00,8-Aug-22,6-Aug-18,Interest
INE121A07IB4,388,75.00,2-Aug-19,6-Aug-18,Interest
INE121A07NX8,540,325.00,8-Aug-19,8-Aug-18,Interest
INE121A08MA6,SD22,2520,9-Aug-18,9-Aug-18,Principal + Interest
INE121A07KR6,456,50.00,10-Jul-18,10-Aug-18,Principal + Interest
INE121A08MB4,PDI 4,16.00,18-Aug-21,20-Aug-18,Interest
INE121A07NY6,542,150.00,22-Aug-19,22-Aug-18,Interest
INE121A08MM1,PDI 10,50.00,22-Aug-22,23-Aug-18,Interest
INE121A07MG5,497,300.00,17-Sep-18,23-Aug-18,Interest
INE121A08NU2,PDI 19,25.00,27-Aug-24,27-Aug-18,Interest
INE121A08OF1,SD55,150.00,30-Aug-27,30-Aug-18,Interest
INE121A08MG3,PDI 8,10.00,1-Mar-22,3-Sep-18,Interest
INE121A07HA8,367,200.00,3-Sep-18,3-Sep-18,Principal + Interest
INE121A07MI1,499,250.00,2-Sep-19,3-Sep-18,Interest
INE121A08MN9,SD28,25.00,5-Sep-18,5-Sep-18,Principal + Interest
INE121A07MJ9,500,100.00,7-Sep-18,7-Sep-18,Principal + Interest
INE121A07KX4,462,25 00,14-Sep-18,14-Sep-18,Principal + Interest
INE121A07MG5,497,300.00,17-Sep-18,17-Sep-18,Principal + Interest
INE121A07OG1,551,200.00,19-Sep-19,19-Sep-18,Interest
INE121A08MO7,PDI 11,18.00,20-Sep-22,21-Sep-18,Interest
INE121A08MG2,PDI 12,25 00,26-Sep-22,25-Sep-18,Interest
INE121A07MO9,505,35.00,26-Sep-19,28-Sep-18,Interest
INE121A07MP6,506,15.00,28-Sep-18,28-Sep-18,Principal + Interest
INE121A07MQ4,507,5.00,29-Mar-22,28-Sep-18,Interest
INE121A07MR2,508,200.00,27-Sep-19,28-Sep-18,Interest
