0,1,2
,31 March 2018,31 March 2017
Accounting profit before income tax,23829.97,23603.74
At country's statutory income tax rate of 34.608% (31 March 2016,,
and 2017: 34.608%),34.608%,34.608%
Tax Expense,"8,247","8,169"
Current Income tax of Foreign Subsidiary,11,14
Impact of P&L of subsidiaries,“8,
Adjustments in respect of current income tax,,
Exempt Dividend Income,(1),
"Foreign Dividend Income, taxed at a different rate",,-
Non-deductible expenses for tax purposes,,
Provisions (net),(481),"1,173"
CSR Expenses,152,143
Gratuity' Liability of previous year paid in current year,(653),
VRS Expenses,(189),(142)
Depreciation Difference,(52),(272)
Impairment of asset,132,
Additional Deduction for R&D expenses in I Tax,• (154),(30)
Adjustments in respect of Previous years income tax,"(1,279)",(450)
,"5,811","8,605"
