0,1,2,3,4,5
Particulars,Standalone,,,,
,Quarter ended,Quarter ended,Quarter ended,Year ended,Year ended
,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,(see note 13),,(see note 13),,
,(Unaudited),(Unaudited),(Audited),(Audited),(Audited)
(i) Earnings per share (of ? 10 each) (not annualised),,,,,
(a) Basic (?) (see note 6),0.04,(0 01),0 03,0.93,0 35
(b) Diluted (?) (see note 6),0.04,(0 01),0.03,093,0 35
(ii) Turnover (Total revenue from operations) *,1741,733,1445,19744,15922
(iii) Profit / (Loss) before tax,1242,(103),813,16152,7893
(iv) Profit / (Loss) after tax,681,(274),420,14843,5575
