0,1,2,3
,,,Country ol
Subsidiaries,Subsidiaries,Subsidiaries,Incorporation
Wipro Cyprus Private Limited,,,Cyprus
,Wipro Doha LLC #,,Qatar
,Wipro Technologies S.A DEC.V,,Mexico
,Wipro BPO Philippines LTD.Inc.,,Philippines
,Wipro Holdings Hungary,,Hungary
,Korlatolt Eelelossegii Tarsasag,Wipro Holdings InvestmentKorlatolt Felelossegu Tarsasag,Hungary
,Wipro Technologies SA,,Argentina
,Wipro Information Technology,,Egypt
,Egypt SAEWipro Arabia Co. Limited *,Womenâ€™s Business ParkTechnologies Limited *,Saudi ArabiaSaudi Arabia
,Wipro Poland Sp. Z.o.o,,Poland
,Wipro IT Services PolandSp.zo.o,,Poland
,Wipro Technologies Australia,,Australia
,Pty LtdWipro Corporate TechnologiesGhana Limited,,Ghana
,Wipro Technologies South,,South Africa
,Africa (Proprietary) Limited,Wipro Technologies Nigeria Limited,Nigeria
,Wipro IT Service Ukraine LLC,,Ukraine
,Wipro Information Technology,,Netherlands
,Netherlands BV.,Wipro Portugal S;A.(A),Portugal
,,"Wipro Technologies Limited,",Russia
,,RussiaWipro Technology Chile SPA,Chile
,,Wipro Solutions Canada Limited,Canada
,,Wipro Information TechnologyKazakhstan LLP,Kazakhstan
,,Wipro Technologies W.T. SociedadAnonima,Costa Rica
,,Wipro Outsourcing Services(Ireland) Limited,Ireland
,,"Wipro Technologies VZ, C.A.",Venezuela
,,Wipro Technologies Peru S.A.C,Peru
,,InfoSERVER S.A.,Brazil
,,Wipro do Brasil TechnologiaLtda(A>,Brazil
,Wipro Technologies SRL,,Romania
,PT WT Indonesia,,Indonesia
,Wipro (Thailand) Co Limited,,Thailand
