0,1
1,"The above standalone financial results were reviewed by the Audit Committee and approved by the board of Directors of Elgi EquipmentsLimited (""the Company"") at their meeting held on May 28, 2018. The statutory auditors of the Company have audited the financial resultsfor the year ended March 31, 2018. The results for the quarter and year ended March 31, 2017 were audited by the erstwhile statutoryauditors of the Company."
2,"This statement has been prepared in accordance with the Companies (Indiau Accounting Standards) Rules, 2015 (Ind AS) prescribed underSection 133 of the Companies Act, 2013 and other recognised accounting practices and policies to the extent applicable."
3,"The Government of India introduced the Goods and Service Tax (GST) with effect from July 1, 2017. Accordingly, in compliance with IndianAccounting Standard (Ind AS) i8-'Revenueâ€™, Revenue from operations for the quarters ended March 31, 2018 and December 31, 2017 ispresented net of GST. Revenue from operations for the the year ended March 31,2018 includes excise duty upto June 30, 2017."
4,"The business activities reflected in the above financial results comprise of manufacturing and sale of compressors. Accordingly, there is noother reportable segment as per Ind AS 108 Operating Segments."
5,"Other expenses for the quarter ended December 31, 2017 and year ended March 31, 2018 includes impairment of investment made by theCompany in its wholly owned subsidiary Elgi Equipments (Zhejiang) Limited amounting to Rs. 2B.19 million."
6,"Exceptional item of Rs. 27.44 million for the year ended March 31, 2018 pertains to expense under the Company's Voluntary RetirementScheme (VRS)."
7,"The figures for the quarter ended March 31, 2018 are the balancing figures between the audited figures in respect of the full financial yearended March 31, 2018 and the published year to date figures upto the third quarter ended Decemher 31, 2017."
8,"The Board of Directors have recommended a dividend of T 1.20 /- per share (120%) for the year ended March 31,2018."
9,Previous period / year figures have been regrouped / reclassified to make them comparable with those of current period.
