0,1,2,3,4,5,6
Annexure-1,,,,,,
ISIN NO,Series,ISSUE SIZERs in Cr,Maturity date,Principal / InterestDue date,Category,Paid / Un Paid
INE121A08NJ5,PDI 16 F,25.00,23-Feb-24,26-Feb-18,Interest,Paid
INE121A07NO7,NCD,150.00,26-Feb-19,26-Feb-18,Interest,Paid
INE121A07ME0,NCD,325.00,28-Feb-18,28-Feb-18,Principal + Interest,Paid
INE121A08MG3,PDI 8,10.00,01-Mar-22,l-Mar-18,Interest,Paid
INE121A07NJ7,NCD,50.00,16-Apr-20,8-Mar-18,Interest,Paid
INE121A07IW0,NCD,100.00,09-Mar-18,9-Mar-18,Principal + Interest,Paid
INE121A07NK5,NCD,50.00,28-Feb-19,14-Mar-18,Interest,Paid
INE121A07IZ3,NCD,100.00,15-Mar-18,15-Mar-18,Principal+Interest,Paid
INE121A07JI7,NCD,25.00,15-Mar-18,15-Mar-18,Principal+Interest,Paid
INE121A07KD6,NCD,10.00,15-Mar-18,15-Mar-18,Principal+Interest,Paid
INE121A07U1,NCD,30.00,20-Mar-18,20-Mar-18,Principal+Interest,Paid
INE121A07LP8,NCD,50.00,20-Mar-18,20-Mar-18,Principal+Interest,Paid
INE121A07NA6,NCD,100.00,20-Mar-19,20-Mar-18,Interest,Paid
INE121A07NL3,NCD,500.00,20-Mar-19,20-Mar-18,Interest,Paid
INE121A07JE6,NCD,150.00,23-Mar-18,23-Mar-18,Principal+Interest,Paid
INE121A08NL1,SD38,25.00,26-Mar-24,26-Mar-18,Interest,Paid
INE121A08NM9,SD39,10.00,26-Mar-21,26-Mar-18,Interest,Paid
INE121A07MK7,NCD,25.00,27-Mar-18,27-Mar-18,Principal + Interest,Paid
INE121A07MM3,NCD,40.00,27-Mar-18,27-Mar-18,Principal + Interest,Paid
INE121A07MN1,NCD,300.00,27-Mar-18,27-Mar-18,Principal + Interest,Paid
1NE121A07MT8,NCD,350.00,27-Mar-18,27-Mar-18,Principal + Interest,Paid
