0,1,2,3,4
Particulars,Standalone,Consolidated,,
,Quarter Ended,Year Ended,Quarter Ended,Year Ended
,31.03.2017,31.03.2017,31.03.2017,31.03.2017
,(Unaudited),(Audited),(Unaudited),(Audited)
Net Profit as per Previous Indian GAAP,"4,150","13,068","5,063","13,133"
Change in Finance Cost,(400),(491),(400),(491)
Deferred Tax,"(1,495)",(860),"(1,465)",(830)
Change in Depreciation due to Fair Valuation of FixedAssets,724,"2,895",725,"2,948"
Others,87,192,93,196
Net Profit as per Ind-AS,"3,066","14,804","4,015","14,956"
