0,1,2,3,4,5,6,7
Particulars,Standalone,Consolidated,,,,,
For the quarter ended,For the year ended,For the year ended,,,,,
31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.03.2017,
(Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Audited),
Total Income,1122.19,1164.77,1085.98,4809 43,4629.27,4879.43,4682 53
Net Profit for the Period (before Tax and Exceptional items),167.89,192.63,169.72,786.40,759.42,786.96,765.31
Net Profit for the Period before tax (after Exceptional items),167.89,192.63,169.72,786.40,759.42,786.96,765.31
Net Profit for the Period after tax (after Exceptional items),105.81,125.15,116.17,516.40,505.94,514.40,508.84
Total Comprehensive Income for the Period,106.29,124.63,112.10,515.31,501.21,513.33,504.14
Equity Share Capital,53.89,53.89,53.89,53.89,53.89,53.89,53.89
Other Equity,,,,3071.23,2751.43,3078.43,2760.61
Earnings Per Share (of Re. 1/- each),,,,,,,
Basic,1.96,2.32,2.16,9.58,9.39,9.55,9.44
Diluted,1.96,2.32,2.16,9.58,9.39,9.55,9.44
