0,1,2,3,4,5,6,7,8
,,Standalone,Consolidated,,,,,
,,Three months,Previous Three,Corresponding,Year ended,Previous year,Year ended,Previous year
,,ended 31.03.2018,months ended,Three months,31.03.2018,ended 31.03.2017,31.03.2018,ended
Sr. No.,Particulars,,31.12.2017,ended 31.03.2017,,,,31.03.2017
,,,,in the previous,,,,
,,,,year,,,,
,,- (Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Audited)
1.,Total income,553.46,501.80,417.25,"2,029.01","1,479.15","2,077.34","1,495.93"
2.,"Net Profit for the period (before tax, Exceptional and/orExtraordinary items)",100.44,105.19,45.65,355.93,123.41,360.96,124.67
3.,Net Profit for the period before tax (after Exceptional and/orExtraordinary items),100.44,105.19,45.65,355.93,123.41,360.96,124.67
4.,Net Profit for the period after tax (after Exceptional and/orExtraordinary items),71.25,70.14,30.40,242.58,81.18,247.45,82.78
,Total Comprehensive Income for the period (comprising Profit,,,,,,,
5.,for the period (after tax) and other comprehensive income (afterlax)},60.23,91.68,62.27,381.46,137.84,387.91,131.76
6.,Paid up Equity Share Capital,41.84,41.84,41.84,41.84,41.84,41.84,41.84
7.,Other Equity,,,,"1,414.48","1,036.26","1,372.82",988.26
8.,"Earnings Per Equity Share (before and after extraordinary items)(of Re. 1/- each, fully paid) (refer note 6)Basic (Re.)",1.70,1.68,0.73,5.80,1.94,5.92,1.98
,Diluted (Re.),1.70,1.68,0.73,5.80,1.94,5.92,1.98
