0,1,2
29,"Naan Dan Jain Irrigation Limited, Israel",Step down Subsidiary
10,"Jain Sulama Sistemleri Sanayi Ve TicaretAnonim Sirkti, Turkey",Step down Subsidiary
11,"Naan Dan Agro-Pro Limited, Israel",Step down Subsidiary
12,"Naan Dan Jain France S.A.R.L., France",Step down Subsidiary
33,"Naan Dan Jain Australia Pty Limited, Australia",Step down Subsidiary
34,"Naan Dan Do Brasil Participacoes Ltda., Brazil",Step down Subsidiary
35,"Naan Dan Jain Industria E Comercio deEquipmentos Ltda., Brazil",Step down Subsidiary
36,"Naan Dan Jain Mexico, S.A. De C.V.. Mexico",Step down Subsidiary
37,"Naan Dan Jain S.R.L., Italy",Step down Subsidiary
38,"Naan Dan Jain Iberica S.C., Spain",Step down Subsidiary
39,"Naan Dan Jain Peru S.A.C., Peru",Step down Subsidiary
40,"Naan Dan Jain Irrigation Projects S.R.L.,Romania",Step down Subsidiary
41,"Agrologico de Guatemala S.A.,",Step down Subsidiary
42,"Agrologico Sistemas Technologicos S.A.,Costa Rica",Step down Subsidiary
43,"Dansystems S.A. , Chile",Jointly Venture of Stepdown Subsidiary
44,Driptech India Private Limited,Step down Subsidiary
45,"Excel Plastic Piping Systems SAS, France",Step down Subsidiary
46,Sustainable Agro - Commercial FinanceLimited,Associate Company
47,"Jain MENA DMCC, Dubai",Step down Subsidiary
48,"Jain Farm Fresh Holdings SPRL, Belgium",Step down Subsidiary
49,"Innovatrading BVBA, Belgium",Step down Subsidiary
50,"InnovaFood NV, Belgium",Step down Subsidiary
51,"JIIO, U.S.A.",Step down Subsidiary
52,"Point Source Irrigation Inc., U.S.A.",Step down Subsidiary
