0,1,2,3,4,5,6,7,8,9,10,11
"ASAHI INDIA GLASS LIMITEDCIN : L26102DL1984PLC019542 ; WEBSITE :www.aisglass.com; EMAIL:investorrelations@aisglass.comREGD. OFFICE : 203-208, TRIBHUWAN COMPLEX. ISHWARNAGAR,MATHURA ROAD. NEW DELHI-110 065CORP. OFFICE : 5TH FLOOR, TOWER-B, GLOBAL BUSINESS PARK, MEHRAUU GURGAON ROAD, GURGAON -122 002 (HARYANA)Segment- wise Revenue, Results and Capital Employed(Rs*Lakhs)",,,,,,,,,,,
,,AIS(Standalone)|AIS (Consolidated,),,,,,,,,
S. No.,Particulars,Quarter Ended,Year Ended,Quarter Ended,Year Ended,,,,,,
,,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017,31.03.2018,31.12.2017,31.03.2017,31.03.2018,31.03.2017
,,(Audited),(Unaudited),(Audited),(Audited),(Audited),(Audited),(Unaudited),(Audited),(Audited),(Audited)
,,,,,,,,,,,
1,Segment Revenue (Gross),,,,,,,,,,
,Automotive Glass,43587,41603,4S417,172956,171085,43S87,41603,45417,172956,171085
,Float Glass,28664,21599,20376,89272,80100,28664,21599,20376,89272,80100
,Others,2842,2021,2901,9377,9913,5004,3611,4640,16185,16727
,Total,75093,65223,68694,271605,261097,77255,66813,70434,278413,267912
,Less:Inter-segment revenue,1588,1274,1286,5396,5048,2389,2096,2052,8078,8057
,Total Revenue,73504,63949,67408,266209,256049,74865,64717,68382,270335,259855
,,,,,,,,,,,
2,Segment Results,,,,,,,,,,
,Automotive Glass,6544,7699,7133,27982,23709,6544,7699,7133,27982,23709
,Float Glass,4783,2336,3393,12505,14183,4783,2336,3393,12505,14183
,Others,(246),(370),(Â«7),(1137),(614),(646),(721),(717),(**8),(2153)
,Total,11081,9665,10290,39360,37278,10681,9314,9809,37879,35739
,Less: Interest,3157,3092,3863,12308,14376,3183,3109,3871,12374,14420
,Add : Unallocable Income (Net ofExpenditure),766,250,590,1192,756,712,199,533,965,555
,Add : Share of Profit of the Associates,,,,,,126,80,132,396,395
,Total Profit Before Tax,8690,6824,7017,28244,23658,8336,6484,6603,26866,22269
,,,,,,,,,,,
3,Segment Assets,,,,,,,,,,
,Automotive Glass,161386,158736,138870,161386,138870,161386,158736,138870,161386,138870
,Float Glass,142714,147010,119389,142714,119389,142714,147010,119389,142714,119389
,Others,13858,13140,18821,138S8,18821,13858,13140,20433,13858,20433
,Unallocated,12854,11231,7524,12854,7524,10177,9800,4345,10177,4345
,Total,330812,330117,284605,330812,284605,328135,328686,283038,328135,283038
,,,,,,,,,,,
4,Segment Liabilities,,,,,,,,,,
,Automotive Glass,61542,56406,52521,61542,52521,61542,56406,52521,61542,52521
,Float Glass,18388,25594,12789,18388,12789,18388,25594,12789,18388,12789
,Others,2325,1795,1697,232S,1697,2325,1795,1696,2325,1696
,Unallocated,137595,142871,122300,137595,122300,138323,144699,123359,138323,123359
,Total,219850,226666,189307,219850,189307,220578,228494,190365,220578,190365
,,,,,,,,,,,
5,Capital Employed (Segment Assets -Segment Liabilities),,,,,,,,,,
,Automotive Glass,99844,102330,86349,99844,86349,99844,102330,86349,99844,86349
,Float Glass,124326,121416,106600,124326,106600,124326,121416,1066QQ,124326,106600
,Others,11533,11345,17124,11533,17124,11533,11345,1873*,11533,18737
,Unallocated,(124741),(131640),(114776),(124741),(114776),(128146),(134899),(1190141,(128146),(119014)
,Total,110962,10*451,9S297,110962,9S297,107557,100192,926j72l,107557,92672
