0,1,2,3,4
,"March 31,2017","March 31,2018","March 31,2017","March 31,2018"
Foreign exchangeforward denominated in:USD /INR,"$100,874 (Sell)","$246,394 (Sell)","$5,427","$3,730"
GBP/ INR,"£2,750 (Sell)","£9,760 (Sell)",1,(69)
EUR/USD,"€77,500 (Sell)","€45,700 (Sell)",124,484
EUR/ INR,"€6,538 (Sell)","€67,895 (Sell)",813,(2167)
AUD/INR,"AUD 14,000 (Sell)","AUD 34,350 (Sell)",454,921
SEK/USD,"SEK 27,350 (Sell)",- (Sell),(3),-
GBP/USD,- (Sell),"£14,730 (Sell)",-,124
CHF/USD,"CHF 4,600 (Sell)","CHF 1,500 (Sell)",34,10
CHF/INR,"CHF 14,750 (Sell)","CHF 21,000 (Sell)","1,822",531
NOK/USD,"NOK 51,000 (Sell)",- (Sell),4,-
MXN/USD,"MXN 124,000 (Sell)","MXN 197,500 (Sell)",(349),(161)
RUB/USD,"RUB 32,000 (Sell)","RUB 198,000 (Sell)",(23),9
SEK/INR,"SEK 60,000 (Sell)","SEK 315,100 (Sell)",468,914
NOK/INR,"NOK 155,000 (Sell)","NOK 160,000 (Sell)","1,638",339
CNY/USD,"CNY 23,500 (Sell)","CNY 67,550 (Sell)",(11),(83)
NZD/USD,- (Sell),"NZD 4,560 (Sell)",-,12
AUD/USD,- (Sell),"AUD 9,100 (Sell)",-,135
ZAR/USD,- (Sell),"ZAR 195,000 (Sell)",-,98
JPY/USD,- (Sell),"JPY 939,069 (Sell)",-,45
BRL/USD,- (Sell),"BRL 24,500 (Sell)",-,50
CAD/USD,"CAD 25,500 (Buy)","CAD 23,000 (Buy)",(73),(509)
SGD/USD,"SGD 23,600 (Buy)","SGD 35,650 (Buy)",204,48
JPY/USD,"JPY 350,000 (Buy)",- (Buy),10,-
GBP/USD,"£73,630 (Buy)","£19,000 (Buy)",393,(113)
