0,1,2
Sr. No.,Name of the Company,
1.,Reliance Power Transmission Limited,
,Reliance Airport Developers Private Limited,
•**_*> _,BSCS Kerala Power Limited,
4.,Mumbai Metro One Private Limited,
\,Reliance Energy Trading Limited,
6.,Parbati koklam Transmission C'ompanv 1.imbed,
7.,DS Toll Road l imited,
<s.,Nk Toll Road Limited,
9.,KM Toll Road Private Limited,
10.,PS Toll Road Private Limited,
iT~,Hk Toil Road Priv ate Limited,
i:.,DA Toll Road Private Limited,
13.,GFToll Road Private l imited,
"14,",CBD Tower Private Limited,
15.,Reliance Electric Generation & Supply Limited,
16.,Reliance Cement Corporation Private Limited,
17.,Reliance Sea Link One Private Limited,
IS.,Utility Infrastructure & Works Private Limited,
19.,Reliance Smart Cities Private Limited,
20.,Reliance Energy Limited,
21.,Reliance E-Generation ami Management Private Limited,
3r,Reliance Defence Limited,
2^,Reliance Cruise and Terminals Limited,
24.,BSES Rajdhuni Power Limited,
,BSES Yamuna Power Limited,
26,JR l oll Road Private Limited,
"17,",Delhi Airport Metro Express Private Limited,
2sT,SL Toll Road Private Limited,
20-,TD Toll Road Private Limited,
40.,TK loll Road Private Limited,
TT.,Mumbai Metro Transport Private Limited,
x2 ■,North karanpura Transmission Company Limited,
33 •,Talchcr II Transmission Company Limited,
44.,l.atur Airport Private Limited,
35.,Baramati Airport Private Limited,
36.,Nanded Airport Private Limited,
yT~,Yuvatmal Airport Private Limited,
3S.,Osmanabad Airport Private Limited,
39.,Reliance Defence & Aerospace Private Limited,
40.,Reliance Defence Technologies Private Limited,
Tf=,Reliance SED Limited,
42.,Reliance Propulsion Systems Limited,
43.,Reliance Defence System and Tech Limited,
44,Reliance Defence Infrastructure Limited,
45-,Reliance Helicopters Limited,
46.,Reliance Land Systems Limited,
