0,1,2,3,4,5
\l DITCDSI VNl) VI (IM. SI.CMI SI VMS!,HI V IM 1. RIM,IS VMM VPII VI,1 MPI.OV 11),,
(Tin lacs),,,,,
,Standalone,,,,
,Quarter Knded31/03/2018(Audited)(Refer Note 6),Quarter Coded31/12/2017(I naiidiled),Quarter Coded31/03/2017(Audited)(Refer Note 6),Year Cnded31/03/2018(Audited),Year Coded31/03/2017(Audited)
1. Segment Revciine,,,,,
a Cement,OOXSI1,82706,<>55<>2,355041,350480
b. Jute,0682,0571,0212,.31015,.32762
c Others,IN,145,107,620,1068
total,106676,89515,104971,386676,384311)
1 ess inter Segment Revenue,18,51,57,133,208
Rev emit from Operations,106658,80461,104014,386543,384102
2. Segment Result,,,,,
(Profit before Interest and lav),,,,,
a Cemail,0767,1 |73,6726,22857,26062
h Jute,â– 173,530,276,I72(i,232.3
e (Hlters,188!,(72),(121),(2611,(214)
Total,10152,1631,6881,24322,28171
I.ess: ti) Interest,1.387,360 |,.3570,16521,13923
tit) other un-allocable expenditure netufTun-nllocable tneome,(2420),200,(2374),(1072),(SU041
Profit before Tax,8185,(2263),5676,9773,22252
3. Segment Assets,,,,,
a. Cement,310146,327080,205 175,3|9|4t.,205475
b Jute,04080,16764,15.370,04089,15370
e (Miters,14702,29.35,2770,14702,2770
d I nalloeated Assets,338600,510065,.328007,3386< 16,328007
Total,766543,666753,641721,766543,641721
4. Segment l.iahililes,,,,,
a Cement,8583 1,8854 1,04 104,85834,04403
b Jute,25ti.3,.3121,2140,256.3,2140
e others,132,253,200,132,299
d 11nalloeated I labilities,265160,255707,227376,265160,227376
Total,353608,347622,324308,353698,32430.5
The Company has reported segment information as per Indian Accounting Standard 108,"""Operating Segments"" (IND",,,,
AS 108). The identification of operating segments is consistent with performance assessment and resource allocation,,,,,
by the chief operating decision maker.,,,,,
,,"/W""",,l or llirbi Corporation 1 iuiited,
,,,,,
KolkataKith Mat.2018,Tt,,,,
