0,1,2,3,4,5,6,7
S.No.,ISIN No.,Date ofAllotment,Last Interestpayment date,Next Interestpayment date,Last PrincipalPayment Date,Next PrincipalPayment Date,PrincipalAmount
,,,,,,,
A,Subordinated Debentures,,,,,,
1,INE511C08985,07-Dec-16,07-Dec-17,07-Dec-18,-,07-Dec-26,35.00
2,INE511C08993,14-Dec-16,14-Dec-17,14-Dec-18,-,14-Sep-22,10.00
3,INE511C08AA9,28-Dec-16,28-Dec-17,28-Dec-18,-,28-Sep-22,3.00
4,INE511C08AB7,03-Jan-17,03-Jan-18,03-Jan-19,-,03-Oct-22,5.00
5,INE511C08AC5,06-Jan-17,06-Jan-18,06-Jan-19,-,06-Oct-22,5.00
6,INE511C08AD3,06-Jan-17,06-Jan-18,06-Jan-19,-,06-Jan-27,15.00
7,INE511C08AE1,24-Jan-17,24-Jan-18,24-Jan-19,-,24-Jan-27,25.00
8,INE511C08AG6,03-Mar-17,02-Mar-18,01-Mar-19,-,03-Mar-27,15.00
9,INE511C08AI2,18-May-17,-,18-May-18,-,18-May-27,10.00
10,INE511C08AK8,07-Mar-18,-,07-Mar-19,-,06-Jun-25,5.00
11,INE511C08AL6,28-Mar-18,-,28-Mar-19,-,28-Mar-28,5.00
,Sub Total (A),,,,,,133.00
