0,1,2,3,4
Quarter ended,Quarter ended,Quntirr ended,Year ended,Year ended
J1/03/2018,31/12/2017,31/03/2017,31/03/2018,JI/OJ/2UI7
Audited,Unaudited,Audited,Audited,Audited
(Refer note 9),,(Refer mile J|,,(Refer note 3)
"5,950 66",5.800 03,5.878 59,22.594 21,21.357 26
578 21,641 81,817 40,"2,362 90","3,073 73"
1.772 72,"1,859 82",1.220 01,"6,076 45",4.860.63
X 70,6.99,11 51,35 03,4. J5244
8.309.79,"8,308.65",7.927.51,"31,0(41.59","33.444,06"
(63 13),(2135),(49 44),(182 09),(140 62)
"11,246.66",K.J87.JO,7.87807,"30,886,50",33.303.44
"2,517 73","2,480 90","2,807.04",9.707 04,8 510 28
(335 77),(85 00),(71 II),(834 80),(12031)
666 52,777 55,343 66,1.979 96,"1,319 73"
(6.251,f0 50),5 65,(22-21),241 13
"2,842.23","3,172.95","3,085.24","10,829.99","9,950.83"
(7.80),(0 86),(1 74),(10 36),(3 89)
1 719 66,993 13,679 R4,4.860 8(1,3.280.94
4554.0*,"4,165.22",3.763 34,"15,680.43",13027.88
4.265 42,"4,473.53",3.937 31,4.265 42,"3,937 31"
1.557.29,"1,308,59",1.909 34,"1,55729","1,909 34"
"3,920 35","3,456 28",3.018 32,3.920 35,3 018 32
17 65,16 35,8 15,17 65,8 15
67 312 66,65 698 91,57.145 01,67.312 66,57.145 0!
77^73J7,74.953.66,66.018.13,"77,073.37","66,018.13"
9 469 56,"10,313 33","9,216 81",9 469 56,9.216X1
953 49,660 05,654 73,953 49,654 73
940 HO,869 27,856 79,940 80,856 79
H 35,39 97,21 58,8 35,21 58
65 6J,298 66,274 55,65 61,274 55
"11,437.81","12,181-28","11,024.46","11,137.81",11.034.46
