0,1,2,3,4,5
Particulars,Quarter Ended,,,,
Mar-18,Dec-17,Sep-17,Jun-17,Mar-17,
Exchange Fluctuation ImpactReported revenues (Rs Mn),"1,033","1,013","1,028",972,977
a. OoOgrowth (%),2.03%,-1.47%,5.76%,-0.50%,-60.20%
"b. Impact of exchange flue t ua tio n (%)),s",-1.16%,0.3 m,-0.60%,-5.05%,-0.29%
c. OoOgro wth in constant currency (%) (a-b),3.V%,-1.79%,6.35%,4.55%,-59.91%
Revenues in constant currency (Rs Mn)16,"1,094","1,061","1,080","1,015",971
,,,,,
,Mar-18,Dec-17,Sep-17,Jun-17,Mar-17
As a%of Total revenues,,,,,
Access charges,9.8%,10.5%,13.5%,11.7%,11.7%
Cost of goods sold,0.0%,0.0%,0.0%,0.1%,0.0%
Net revenues,90.2%,89.5%,86.5%,88.2%,88.3%
"Operating Expenses (excluding accesscharges, cost of goods sold & license fee)",71.3%,74.2%,74.7%,81.5%,85.0%
Licence Fee,12.5%,13.5%,13.2%,13.1%,14.3%
EBITDA,6.5%,1.8%,-1.4%,-6.4%,-11.1%
ffiT,-26.3%,-29.3%,-32.5%,-37.6%,-42.6%
Rofit before Tax,-36.8%,-47.9%,-49.8%,-61.3%,-69.2%
Rofit after Tax (before exceptional items),-37.3%,-48.5%,-50.3%,-61.8%,-69.7%
Non Controlling Interest,0.0%,0.0%,0.0%,0.0%,0.0%
Net income (before exceptional items),-37.3%,-48.5%,-50.3%,-61.8%,-69.7%
