0,1,2,3,4,5,6
SI.No.,Particulars,PrincipalAmount(? Mn),Previous Due Date,Next Due Date,,
Principal,Interest,Principal,Interest,,,
1,Secured 9.45% NCD’s,"3,960",N.A,31-Oct-17,31-Oct-19,31-Oct-18
2,Secured 8.12% NCD’s,50,N.A,8-Feb-18,8-Feb-24,8-Feb-19
3,Unsecured 7.57% NCD’s,"15,000",N.A,13-DOO-17,13-Dec-21,13-Dec-18
4,Unsecured 7.77% NCD’s,"10,000",N.A,4-Jan-18,4-Jan-22,4-Jan-19
5,Unsecured 7.77% NCD’s,"5,000",N.A,17-Jan-18,17-Jan-22,17-Jan-19
6,Unsecured 8.04% NCD’s,"20,000",N.A,29-Jan-18,27-Jan-22,28-Jan-19
7,Unsecured 8.03% NCD’s,"5,000",N.A,31-Jan-18,31-Jan-22,31-Jan-19
8,Unsecured 8.03% NCD’s,"5,000",N.A,14-Feb-18,14-Feb-22,14-Feb-19
