0,1,2,3,4
"Note No 4, Other Intangibles Assets",,Other Intangible Assets,,
,Goodwill,Softwares,Brand Value,Total
Gross carrying amount,,,,
Balance as at 1 April 2016,689.32,548.22,332.63,880.86
Additions,-,98.02,■,98.02
Disposals/adjustments,-,-,-,-
Balance as at 31 March 2017,689.32,646.24,332.63,978.88
Additions,*,98.94.,-,98.94
Disposals/adjustments,-,0.01,-,"0,01"
Balance as at 31 March 2018,689.32,745.19,332.63,"1,077.83"
Accumulated amortisation,,,,
Balance as at 1 April 2016,-,122.23,38.00,160.23
Amortisation charge for the year,,151.05,38.00,189.05
Disposals/adjustments for the year,-,-,-,-
Balance as at 31 March 2017,-,273.28,76.00,349.28
Amortisation charge for the year,•,163.28,38.00,201.28
Disposals/adjustments for the year,,,,
impairment,689.32,•,-,-
Balance as at 31 March 2018,689.32,436.56,114.00,550.56
,,,,
Net book value as at 31 March 2017,689.32,372.96,256.63,629.60
Net book value as at 31 March 2018,,"308,63",218.63,527.27
