0,1
CONSOLIDATED,
Year,Year
Ended,Ended
31.03.18,31.03.17
Audited,
3859.74,3288.60
69.01,125.09
"3,928.75","3,413.69"
662.55,585.30
203.31,147.82
(41.89),13.76
917.34,573.64
262.51,212.07
950.23,725.11
263.70,244.35
207.29,175.00
111.38,367.04
362.54,294.13
"3,898.96","3,338.22"
500.78,494.82
29.79,75.47
(0.04),(0.04)
2.74,4.04
32.49,79.47
26.12,16.71
(40.17),(24.41)
3.18,(0.09)
(10.87),(779)
43.36,87.26
(2.17),(0.97)
41.19,86.29
(11.98),1.46
53.17,84.83
58.85,58.85
905.97,922.65
1.384.67,1.342.12
60.10,60.10
4.69,7.29
1.76,1.92
1.43,1.54
1.08,1.10
1.90,2.03
